,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
84,Robby Newton,Colgate,F,25,3,6,9,0,0,1,0,29,155,56,7,80,8,5
85,Niko Rexine,Colgate,F,33,5,10,15,0,2,0,1,39,371,160,6,107,12,8
86,Jake Schneider,Colgate,F,36,4,9,13,0,1,1,0,71,50,16,10,116,14,18
87,Antonio Fernandez,Colgate,D,31,5,9,14,0,0,0,0,37,0,0,-5,111,10,31
88,Jacob Napier,Colgate,D,26,2,2,4,0,0,0,0,22,0,0,-3,76,6,13
89,Ryan Sullivan,Colgate,F,23,5,10,15,1,1,0,0,85,676,333,-10,225,20,10
90,Ryan Sullivan,Miami,F,34,6,4,10,3,0,0,0,85,676,333,-10,225,8,23
91,Michael Neumeier,Colgate,D,35,8,12,20,1,2,0,0,67,0,0,10,112,9,32
92,Simone Dadi̬,Colgate,F,30,5,2,7,0,1,0,0,30,5,2,-2,91,8,9
93,Max Nagel,Colgate,F,36,6,18,24,1,0,0,1,78,4,2,-4,116,12,22
94,Jack Brandt,Colgate,F,30,2,5,7,0,1,0,0,27,13,7,-4,97,40,6
95,Ryan Spinale,Colgate,F,34,4,2,6,2,0,0,0,31,17,5,-14,110,69,8
96,Brett Merner,Colgate,D,35,3,6,9,0,0,0,0,25,2,0,8,112,0,14
97,Daniel Panetta,Colgate,F,25,10,3,13,2,3,0,1,71,297,143,10,83,12,27
98,Bobby Metz,Colgate,D,9,0,1,1,0,0,0,0,5,1,0,1,24,0,4
99,Dominic Foglia,Colgate,D,15,0,1,1,0,0,0,0,9,0,0,5,42,4,7
100,Simon Labelle,Colgate,F,25,1,11,12,0,0,0,0,45,0,0,1,92,8,13
101,Nick Haas,Colgate,G,7,0,0,0,0,0,0,0,0,0,0,0,32,0,0
102,Hank Kempf,Cornell,D,32,2,5,7,0,0,0,0,31,0,0,4,82,16,22
103,Sullivan Mack,Cornell,F,28,8,12,20,1,1,0,2,67,14,6,13,73,19,22
104,Ondrej Psenicka,Cornell,F,26,8,11,19,3,1,0,0,56,28,15,9,68,10,17
105,Ian Shane,Cornell,G,30,0,1,1,0,0,0,0,0,0,0,0,80,2,0
106,Tim Rego,Cornell,D,32,7,13,20,0,1,0,0,53,2,1,15,82,18,26
107,Kyle Penney,Cornell,F,21,6,1,7,0,0,1,1,45,45,20,8,51,15,13
108,Kyler Kovich,Cornell,F,32,4,8,12,0,1,0,0,45,229,119,13,82,23,12
109,Jack O'Leary,Cornell,F,30,7,9,16,0,3,0,0,44,14,7,5,80,19,18
110,Michael Suda,Cornell,D,32,0,11,11,0,0,0,0,38,0,0,12,82,18,35
111,Dalton Bancroft,Cornell,F,32,15,10,25,3,4,2,0,102,16,7,11,82,44,55
112,Nick DeSantis,Cornell,F,29,7,5,12,1,0,0,1,45,7,5,11,79,24,15
113,Jack O'Brien,Cornell,D,26,0,3,3,0,0,0,0,15,0,0,4,69,2,4
114,Hoyt Stanley,Cornell,D,31,2,10,12,0,0,0,0,33,0,0,14,80,36,24
115,Jake Kraft,Cornell,F,32,7,6,13,0,1,0,0,56,12,3,5,82,4,16
116,Tyler Catalano,Cornell,F,32,2,4,6,0,1,0,0,26,213,107,0,82,26,6
117,Ben Robertson,Cornell,D,32,2,11,13,1,0,0,0,54,0,0,11,82,8,27
118,Jonathan Castagna,Cornell,F,28,4,9,13,0,0,0,1,61,494,290,2,75,16,18
119,Ryan Walsh,Cornell,F,32,13,12,25,3,2,0,1,96,749,419,14,82,16,27
120,Charlie Major,Cornell,F,24,4,12,16,1,1,0,0,60,204,104,7,60,6,22
121,Nicholas Wolfenberg,Cornell,D,13,1,1,2,0,0,0,0,8,0,0,2,32,2,0
122,Jimmy Rayhill,Cornell,D,6,0,1,1,0,0,0,0,3,1,0,0,10,0,0
123,George Fegaras,Cornell,D,26,1,12,13,0,0,0,0,50,0,0,1,69,10,31
124,Sean Donaldson,Cornell,F,16,0,0,0,0,0,0,0,15,1,0,-7,34,19,4
125,John Fusco,Dartmouth,D,31,10,10,20,2,6,0,1,85,0,0,15,83,39,63
126,Sean Chisholm,Dartmouth,F,32,15,11,26,4,3,0,1,82,584,300,4,84,10,22
127,Braiden Dorfman,Dartmouth,F,30,7,9,16,1,0,0,0,48,10,7,9,80,20,25
128,Trym Lokkeberg,Dartmouth,F,22,0,3,3,0,0,0,0,3,124,63,2,55,6,1
129,Ian Pierce,Dartmouth,D,24,1,8,9,0,0,0,0,25,0,0,7,65,13,31
130,Steven Townley,Dartmouth,F,32,4,4,8,0,1,0,0,28,520,272,11,84,2,7
131,Cam MacDonald,Dartmouth,F,32,6,10,16,0,1,1,1,40,4,1,1,84,8,9
132,Cooper Flinton,Dartmouth,F,31,11,13,24,4,1,2,2,55,13,2,5,82,8,18
133,Luke Haymes,Dartmouth,F,21,12,6,18,1,2,0,0,60,385,243,-1,56,14,21
134,Alex Krause,Dartmouth,F,30,4,8,12,0,0,0,0,37,5,3,13,77,0,3
135,Emmett Croteau,Dartmouth,G,18,0,0,0,0,0,0,0,0,0,0,0,38,9,0
136,Eric Charpentier,Dartmouth,D,32,3,8,11,0,0,0,1,37,0,0,14,84,26,42
137,CJ Foley,Dartmouth,D,32,11,19,30,1,1,1,2,65,0,0,16,84,10,51
138,Matt Fusco,Dartmouth,D,30,1,6,7,1,0,0,0,39,0,0,-3,81,4,27
139,Nikita Nikora,Dartmouth,F,32,4,26,30,1,0,0,0,50,14,7,-8,84,4,22
140,Colin Grable,Dartmouth,D,18,0,1,1,0,0,0,0,10,0,0,1,51,8,9
141,Hayden Stavroff,Dartmouth,D,30,10,12,22,2,3,0,0,66,3,1,3,77,41,24
142,Tim Busconi,Dartmouth,D,20,0,0,0,0,0,0,0,9,0,0,1,54,4,8
143,Hank Cleaves,Dartmouth,F,31,5,15,20,0,0,0,0,43,153,75,5,82,10,21
144,Jack Silverberg,Dartmouth,F,29,0,5,5,0,0,0,0,12,3,1,9,70,15,7
145,Tucker McRae,Dartmouth,D,25,0,1,1,0,0,0,0,16,0,0,-10,65,6,8
146,Joshua Schenk,Dartmouth,F,18,0,2,2,0,0,0,0,16,34,10,-2,54,2,3
147,Roan Clarke,Dartmouth,G,16,0,0,0,0,0,0,0,0,0,0,0,51,0,0
148,Nate Morgan,Dartmouth,F,16,4,0,4,1,0,0,1,8,2,0,4,41,0,1
149,Oskari Vuorio,Dartmouth,F,4,1,0,1,0,0,0,0,3,0,0,2,10,0,0
150,Ian Moore,Harvard,D,32,3,11,14,1,0,0,0,77,0,0,-5,95,14,35
151,Jack Bar,Harvard,D,25,0,3,3,0,0,0,0,20,0,0,0,76,25,14
152,Kyle Aucoin,Harvard,D,28,2,2,4,0,0,0,1,40,0,0,-3,81,8,19
153,Zakary Karpa,Harvard,F,31,1,6,7,0,0,0,0,32,490,257,-6,92,8,8
154,Mason Langenbrunner,Harvard,D,33,6,4,10,3,1,0,0,52,0,0,3,97,24,30
155,Philip Tresca,Harvard,F,31,4,8,12,0,1,0,0,45,232,104,1,91,6,16
156,Ryan Healey,Harvard,D,33,4,9,13,2,0,0,0,65,0,0,-4,97,12,44
157,Joe Miller,Harvard,F,28,5,18,23,0,1,0,0,50,16,11,5,81,8,12
158,Marek Hejduk,Harvard,F,25,4,1,5,1,1,0,0,27,11,5,-10,68,8,7
159,Casey Severo,Harvard,F,33,16,12,28,8,4,0,1,63,675,337,10,97,4,14
