,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
565,Ryan Upson,Bentley,F,31,1,12,13,0,1,0,0,32,10,5,14,65,6,12
566,Ryan Nause,Bentley,D,16,0,0,0,0,0,0,0,9,0,0,-2,36,6,7
567,Kellan Hjartarson,Bentley,F,38,8,6,14,4,3,0,0,64,117,61,0,83,4,15
568,Chase Davis,Bentley,F,23,3,4,7,0,0,0,0,34,189,102,0,60,4,10
569,Garrett Horsager,Bentley,D,37,0,9,9,0,0,0,0,46,0,0,12,77,31,35
570,Colton Cameron,Bentley,D,35,0,5,5,0,0,0,0,16,1,0,9,74,8,18
571,Ryan Mansfield,Bentley,F,31,8,10,18,1,3,0,0,65,222,108,7,67,4,16
572,Oliver Salo,Bentley,F,27,2,4,6,0,0,0,0,37,1,1,3,50,6,18
573,Oskar Bakkevig,Bentley,F,27,10,6,16,1,0,0,2,59,159,83,3,58,29,34
574,Samuel Duerr,Bentley,D,35,7,7,14,1,3,0,0,80,0,0,8,78,12,53
575,Jimmy DoyleÂ ,Bentley,F,30,0,8,8,0,0,0,0,51,65,30,3,63,6,9
576,David Helledy,Bentley,D,22,0,1,1,0,0,0,0,13,0,0,-3,43,6,8
577,Jake Black,Bentley,F,20,4,3,7,0,1,0,0,43,18,8,-1,41,4,20
578,Peter Kramer,Bentley,F,19,0,4,4,0,0,0,0,25,0,0,2,46,8,7
579,Pat Lawn,Bentley,D,6,0,0,0,0,0,0,0,2,0,0,2,12,2,1
580,Max Beckford,Bentley,G,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0
581,Kolby Amici,Bentley,F,5,0,0,0,0,0,0,0,2,0,0,-3,17,2,0
582,Nicholas Bevilacqua,Bentley,G,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
583,Seth Bernard-Docker,Bentley,D,6,0,0,0,0,0,0,0,5,0,0,-2,18,0,3
584,Jackson Decker,Canisius,D,34,1,12,13,0,0,0,0,46,1,1,-7,112,16,37
585,Alec Cicero,Canisius,F,34,8,9,17,3,1,0,1,41,40,13,-7,113,33,24
586,Mikey Colella,Canisius,F,36,4,8,12,0,1,0,0,41,29,8,-10,120,6,19
587,Kyle Haskins,Canisius,F,37,11,12,23,3,2,0,1,89,521,220,-12,120,24,44
588,Cole Kodsi,Canisius,F,31,4,8,12,0,1,0,0,70,57,19,-6,104,8,18
589,Luke Farthing,Canisius,D,14,1,4,5,0,0,0,0,21,0,0,-8,54,10,14
590,Cody Schiavon,Canisius,D,34,2,0,2,0,0,0,0,33,0,0,-5,110,24,23
591,Alton McDermott,Canisius,F,33,7,8,15,1,3,0,0,43,4,2,5,104,6,14
592,Matt Vermaeten,Canisius,F,34,4,4,8,0,1,0,0,46,118,44,-5,109,2,12
593,Oliver Tarr,Canisius,F,30,8,7,15,2,0,0,0,71,5,0,-6,92,8,15
594,Stefano Bottini,Canisius,F,33,3,1,4,0,0,1,0,35,8,2,-4,108,23,12
595,Kash Rasmussen,Canisius,F,14,2,6,8,2,0,0,0,20,127,59,5,41,6,7
596,Grant Porter,Canisius,F,33,10,5,15,5,0,0,1,65,273,129,-7,106,12,26
597,Matteo Giampa,Canisius,F,37,8,22,30,1,1,0,1,82,15,3,-10,120,10,38
598,Trey Funk,Canisius,F,37,8,9,17,4,0,0,0,70,622,267,-19,120,23,8
599,Ethan Robertson,Canisius,G,20,0,1,1,0,0,0,0,0,0,0,0,63,0,0
600,Jack Budd,Canisius,D,28,1,10,11,0,0,0,1,50,0,0,-8,94,12,19
601,Dominic Payne,Canisius,D,37,6,8,14,1,1,1,0,71,0,0,2,120,14,34
602,Ben Bonisteel,Canisius,G,11,0,0,0,0,0,0,0,0,0,0,-1,39,0,0
603,Carter Patterson,Canisius,D,28,1,4,5,0,0,1,1,28,0,0,-1,81,31,22
604,Hunter Price,Canisius,F,16,0,0,0,0,0,0,0,15,78,31,-4,52,4,4
605,Cooper Haar,Canisius,F,9,0,2,2,0,0,0,0,8,2,1,0,32,4,1
606,Keegan Langefels,Canisius,D,4,0,0,0,0,0,0,0,3,0,0,0,15,0,1
607,Hunter Andrew,Canisius,F,16,2,1,3,0,1,0,0,25,2,0,2,55,6,4
608,Christian MacDougall,Canisius,F,1,0,0,0,0,0,0,0,1,0,0,1,8,17,0
609,Luke Marshall,Canisius,D,23,1,1,2,0,0,0,0,25,0,0,0,74,6,10
610,Jackson Nieuwendyk,Canisius,F,22,1,2,3,0,0,1,0,21,151,68,-5,73,6,4
611,Robert Kincaid,Canisius,D,22,2,4,6,1,0,1,0,38,0,0,-6,68,0,20
612,Killian Kiecker-Olson,Canisius,F,22,3,2,5,1,0,0,0,21,233,132,1,69,6,11
613,Petter WickstrÃ¶m Stumer,Canisius,G,15,0,0,0,0,0,0,0,0,0,0,0,56,0,0
614,Ryan Gillespie,Canisius,F,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0
615,Ryan Buckley,Holy Cross,D,13,0,1,1,0,0,0,0,6,0,0,3,31,4,1
616,John Gelatt,Holy Cross,F,36,7,10,17,2,1,0,0,71,218,94,10,83,10,30
617,Matt Shatsky,Holy Cross,D,27,1,8,9,0,0,0,0,29,0,0,-5,74,8,23
618,Liam McLinskey,Holy Cross,F,39,23,28,51,9,2,1,4,140,31,13,5,94,18,68
619,Timothy Heinke,Holy Cross,F,37,12,7,19,3,1,0,1,103,9,1,1,89,24,34
620,Lachlan Getz,Holy Cross,D,37,0,8,8,0,0,0,0,34,0,0,5,92,32,27
621,Louden Hogg,Holy Cross,G,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
622,Matt DeBoer,Holy Cross,F,39,11,20,31,4,2,0,0,108,17,4,3,94,46,37
623,Devin Phillips,Holy Cross,F,33,10,20,30,3,2,0,0,78,23,6,-1,79,6,26
624,Jack Seymour,Holy Cross,F,33,7,12,19,2,1,0,0,67,18,8,7,83,34,30
625,Michael Abgrall,Holy Cross,F,39,8,17,25,0,5,0,1,68,568,251,2,94,56,36
626,Brody Gagno,Holy Cross,D,37,1,7,8,0,0,1,0,16,0,0,15,88,40,20
627,Will Elias,Holy Cross,D,31,5,6,11,1,1,1,1,38,0,0,4,72,16,23
628,Jack Stockfish,Holy Cross,F,35,15,12,27,3,4,0,0,75,693,393,0,88,28,40
629,Connor Welsh,Holy Cross,F,29,0,3,3,0,0,0,0,22,3,3,-2,69,8,7
630,Jarrod Smith,Holy Cross,F,13,0,1,1,0,0,0,0,9,45,22,1,30,8,5
631,Edward Moskowitz,Holy Cross,F,7,0,1,1,0,0,0,0,7,1,1,0,18,0,0
632,Ben LeFranc,Holy Cross,D,21,1,0,1,0,0,0,0,13,0,0,-3,56,2,8
633,William Troutwine,Holy Cross,D,29,2,2,4,0,1,0,1,24,0,0,3,60,0,22
634,Matthew Kursonis,Holy Cross,F,26,9,14,23,5,3,0,0,75,351,199,1,59,14,21
635,Nic Petruolo,Holy Cross,D,25,1,7,8,0,0,0,1,26,0,0,13,59,54,22
636,Thomas Gale,Holy Cross,G,38,0,0,0,0,0,0,0,0,0,0,0,90,0,0
637,Mack Oliphant,Holy Cross,D,35,3,24,27,0,0,1,0,78,0,0,3,83,4,55
638,Joe Solimine,Holy Cross,F,31,1,5,6,0,0,0,0,40,238,115,-1,78,12,8
639,Ty Gagno,Holy Cross,F,32,4,9,13,0,0,1,1,53,352,176,1,74,26,21
640,Owen Kim,Holy Cross,F,25,3,4,7,1,1,0,0,45,31,19,-3,66,39,16
641,Michael Hodge,Holy Cross,F,23,3,1,4,0,0,0,0,25,11,3,3,49,2,7
642,Steven Agriogianis,Mercyhurst,F,34,8,12,20,5,1,0,0,55,629,296,-22,145,8,20
643,Mickey Burns,Mercyhurst,F,32,10,11,21,2,0,0,0,74,64,32,-5,139,23,26
644,Jake Beaune,Mercyhurst,D,26,1,2,3,0,0,0,0,42,0,0,-15,114,36,15
645,Dustin Geregach,Mercyhurst,D,35,7,14,21,1,0,1,0,80,0,0,-15,150,10,41
646,Ryan Coughlin,Mercyhurst,F,35,5,10,15,0,1,1,0,46,312,112,-15,150,12,6
647,Tyler Nasca,Mercyhurst,D,31,1,3,4,0,0,0,0,24,0,0,-10,128,4,16
648,Barrett Brooks,Mercyhurst,F,25,2,7,9,0,0,0,0,36,76,26,-16,106,2,13
649,Trent Sambrook,Mercyhurst,D,35,0,11,11,0,0,0,0,43,0,0,-21,150,18,36
650,Tyler DesRochers,Mercyhurst,D,26,5,3,8,1,0,0,1,16,1,0,-10,100,16,11
651,Sean James,Mercyhurst,F,34,3,8,11,0,0,0,1,57,0,0,-9,137,10,20
652,Boris Skalos,Mercyhurst,F,34,5,9,14,1,2,0,0,96,38,17,-19,145,12,39
653,Cameron Ricotta,Mercyhurst,F,2,0,0,0,0,0,0,0,1,1,0,-4,9,0,0
654,Spencer Smith,Mercyhurst,F,32,1,3,4,0,0,0,0,19,313,138,-13,139,6,8
655,Connor Pelc,Mercyhurst,F,28,2,5,7,0,0,0,0,44,232,106,-15,119,29,12
656,Brendan Lamb,Mercyhurst,F,33,2,8,10,1,0,0,0,41,440,187,-18,142,4,13
657,Riley Fitzgerald,Mercyhurst,F,32,7,7,14,2,0,0,0,48,103,41,-17,139,6,9
658,Kaden Muir,Mercyhurst,D,21,0,1,1,0,0,0,0,8,0,0,-15,97,16,6
659,Christian Kocsis,Mercyhurst,F,25,0,2,2,0,0,0,0,15,6,2,-21,111,10,3
660,Caleb Price,Mercyhurst,D,24,0,7,7,0,0,0,0,30,0,0,-19,105,0,15
661,Carter McPhail,Mercyhurst,G,22,0,0,0,0,0,0,0,0,0,0,0,92,4,0
662,Will Margel,Mercyhurst,F,24,6,6,12,2,0,0,0,49,4,1,-17,112,16,14
663,Jaryd Sych,Mercyhurst,D,30,2,0,2,0,0,0,0,27,0,0,-15,129,12,21
664,Simon Bucheler,Mercyhurst,G,11,0,0,0,0,0,0,0,0,0,0,0,55,2,0
665,Dominik Bartecko,Mercyhurst,F,31,6,6,12,3,0,0,0,50,1,0,-12,136,2,13
666,Davis Fry,Mercyhurst,F,11,1,0,1,0,0,0,0,4,87,33,-3,44,4,1
667,Michael Chambre,Mercyhurst,G,6,0,0,0,0,0,0,0,0,0,0,0,34,0,0
668,Matteo Disipio,Mercyhurst,F,16,3,3,6,0,0,0,0,20,0,0,-4,75,2,10
669,Kyler Head,Mercyhurst,F,6,0,0,0,0,0,0,0,10,1,1,-3,24,6,1
670,John Jaworski,Sacred Heart,F,39,13,18,31,1,3,1,1,80,558,248,8,101,12,24
671,Tyler Ghirardosi,Sacred Heart,F,32,8,11,19,2,1,0,2,50,3,1,4,82,12,18
672,Max Dorrington,Sacred Heart,F,38,12,10,22,3,3,0,0,67,619,337,4,98,47,12
673,Gabe Blanchard,Sacred Heart,D,38,0,6,6,0,0,0,0,47,2,1,-2,100,31,35
674,Hunter Sansbury,Sacred Heart,D,39,6,15,21,3,1,0,0,82,2,1,12,101,30,39
675,Marcus Joughin,Sacred Heart,F,39,3,18,21,0,0,0,0,58,459,233,-2,101,14,26
676,Garrett Sundquist,Sacred Heart,D,20,1,3,4,0,0,0,0,14,0,0,8,57,2,7
677,Matt Guerra,Sacred Heart,F,39,7,12,19,0,0,0,2,73,279,131,8,101,37,29
678,FÃ©lix Trudeau,Sacred Heart,F,39,15,23,38,7,3,0,1,130,85,37,1,101,64,53
679,Reid Pabich,Sacred Heart,F,39,13,15,28,0,3,0,2,78,5,1,13,101,18,13
680,Mikey Adamson,Sacred Heart,D,37,12,15,27,4,4,0,0,61,0,0,11,97,14,66
681,John Driscoll,Sacred Heart,D,39,2,8,10,1,0,0,0,49,0,0,2,101,14,44
682,Jake Hewitt,Sacred Heart,F,32,5,8,13,0,2,0,0,37,7,2,5,84,14,10
683,Jake Bongo,Sacred Heart,F,22,3,4,7,0,1,0,0,24,45,21,4,64,0,10
684,Cole Galata,Sacred Heart,F,37,6,7,13,0,0,0,1,32,15,5,4,92,11,10
685,Cullen DeYoung,Sacred Heart,G,15,0,0,0,0,0,0,0,0,0,0,0,52,0,0
686,Aiden VanRooyan,Sacred Heart,D,32,1,6,7,0,0,0,0,39,1,0,8,81,10,21
687,Paul Minnehan,Sacred Heart,F,13,1,3,4,0,0,0,0,13,2,1,0,34,2,6
688,Michael Rubin,Sacred Heart,D,30,1,6,7,0,0,0,0,17,0,0,9,77,10,12
689,Charles Tardif,Sacred Heart,F,35,2,9,11,0,0,0,0,24,312,172,5,88,14,5
690,Brendan Dumas,Sacred Heart,F,8,0,0,0,0,0,0,0,6,1,1,-2,21,8,2
691,Vitaly Levyy,Sacred Heart,F,9,0,1,1,0,0,0,0,9,6,1,0,31,2,3
692,Jeremi Tremblay,Sacred Heart,F,22,2,4,6,0,0,0,0,21,1,1,8,56,21,4
693,Daniel Ebrahim,Sacred Heart,F,33,3,2,5,0,0,0,0,49,4,1,-1,80,8,14
694,Rylee Hlusiak,Sacred Heart,F,13,1,1,2,0,0,0,0,10,3,1,-1,26,0,2
695,Ajeet Gundarah,Sacred Heart,G,26,0,1,1,0,0,0,0,0,0,0,0,61,0,0
696,Willyam Gendron,Sacred Heart,F,3,0,0,0,0,0,0,0,2,0,0,0,6,2,1
697,Luke Amell,Sacred Heart,D,7,1,0,1,0,0,0,0,8,0,0,0,20,6,3
698,Jack O'Dea,Sacred Heart,G,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
699,Aaron Bohlinger,Quinnipiac,D,31,3,11,14,2,0,0,1,34,0,0,11,75,4,36
700,Travis Treloar,Quinnipiac,F,36,16,19,35,9,4,0,2,100,469,262,3,83,2,25
701,Cooper Moore,Quinnipiac,D,35,1,13,14,0,0,1,0,57,0,0,10,83,12,59
702,Jack Ricketts,Quinnipiac,F,36,20,7,27,4,5,1,3,89,113,67,22,83,45,25
703,Davis Pennington,Quinnipiac,D,36,1,16,17,0,0,0,0,72,0,0,7,83,20,61
704,Jeremy Wilmer,Quinnipiac,F,36,14,25,39,5,4,0,1,65,23,17,-6,83,2,24
705,Victor Czerneckianair,Quinnipiac,F,36,7,9,16,0,0,1,1,46,593,336,23,83,21,15
706,Anthony Cipollone,Quinnipiac,F,36,0,3,3,0,0,0,0,28,9,3,-1,79,9,10
707,Charlie Leddy,Quinnipiac,D,35,1,8,9,0,0,0,0,41,0,0,17,80,12,29
708,Alex Power,Quinnipiac,F,20,1,2,3,0,1,0,0,15,1,0,0,45,0,7
709,Nate Benoit,Quinnipiac,D,22,0,2,2,0,0,0,0,8,0,0,1,45,4,13
710,Mason Marcellus,Quinnipiac,F,36,10,27,37,0,1,1,2,67,120,53,6,83,28,30
711,Andon Cerbone,Quinnipiac,F,36,14,20,34,8,2,0,0,92,188,114,4,83,16,22
712,Matej Marinov,Quinnipiac,G,16,0,1,1,0,0,0,0,0,0,0,0,34,0,0
713,Elliott Groenewold,Quinnipiac,D,36,4,8,12,0,2,0,0,56,0,0,5,83,16,49
714,Tyler Borgula,Quinnipiac,F,36,12,13,25,3,1,0,0,89,3,2,10,83,20,31
715,Aaron Schwartz,Quinnipiac,F,36,12,18,30,6,1,0,0,89,6,1,-1,83,2,29
716,Braden Blace,Quinnipiac,D,26,1,2,3,0,0,0,0,14,0,0,5,58,4,11
717,Chris Pelosi,Quinnipiac,F,36,12,11,23,2,3,1,1,86,465,240,12,83,10,25
718,Ryan Smith,Quinnipiac,F,31,2,3,5,0,0,0,0,31,131,71,-10,76,21,17
719,Dylan Silverstein,Quinnipiac,G,23,0,0,0,0,0,0,0,0,0,0,0,59,0,0
720,Matthew McGroarty,Quinnipiac,F,18,0,2,2,0,0,0,0,11,86,52,-4,40,2,3
721,Drew Hockley,Quinnipiac,D,21,1,3,4,1,0,0,0,26,0,0,3,49,6,22
722,Noah Altman,Quinnipiac,G,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
723,Noah Eyre,Quinnipiac,F,4,0,0,0,0,0,0,0,2,0,0,0,9,0,1
724,Chase Ramsay,Quinnipiac,D,3,0,0,0,0,0,0,0,0,1,1,0,4,0,0
725,Will Zapernick,Vermont,F,35,3,14,17,0,0,1,0,55,404,199,-11,116,10,17
726,Keenan Rancier,Vermont,G,14,0,0,0,0,0,0,0,0,0,0,0,51,0,0
727,Joel MÃ¤Ã¤ttÃ¤,Vermont,F,35,9,18,27,4,1,1,2,51,644,358,5,116,16,12
728,Luca MÃ¼nzenberger,Vermont,D,31,5,7,12,0,0,0,1,40,1,0,11,100,18,29
729,Isak Walther,Vermont,F,33,6,11,17,1,2,0,1,67,6,3,-2,111,10,13
730,Timofei Spitserov,Vermont,F,33,12,6,18,1,2,0,2,71,0,0,4,107,4,16
731,Simon  Jellus,Vermont,F,35,9,12,21,2,3,0,0,74,92,45,-2,116,14,36
732,Philip TÃ¶rnqvist,Vermont,D,33,2,6,8,1,0,0,0,27,0,0,-7,106,4,22
733,Jens Richards,Vermont,F,25,5,2,7,0,1,0,0,33,0,0,-6,80,6,13
734,Dawson Good,Vermont,F,6,0,0,0,0,0,0,0,4,1,1,-3,21,2,2
735,Thomas Sinclair,Vermont,F,33,3,5,8,0,0,0,1,42,345,176,-12,110,21,13
736,Massimo Lombardi,Vermont,F,34,8,10,18,1,1,0,0,61,19,9,-15,114,8,22
737,Sebastian TÃ¶rnqvist,Vermont,D,31,1,17,18,1,0,0,0,58,0,0,-9,106,46,60
738,Daniel Sambuco,Vermont,F,27,2,2,4,0,0,0,0,34,3,2,0,84,46,5
739,Jack Malinski,Vermont,D,15,0,1,1,0,0,0,0,12,0,0,1,56,6,5
740,Duncan  Ramsay,Vermont,D,32,0,3,3,0,0,0,0,24,0,0,-3,105,6,14
741,Charlie Kinsman,Vermont,D,23,1,1,2,0,0,0,0,16,0,0,-4,82,2,4
742,Colin Kessler,Vermont,F,34,12,11,23,5,1,0,0,105,197,84,-4,113,39,29
743,Jax Wismer,Vermont,D,34,2,13,15,1,0,0,0,51,0,0,-1,113,22,30
744,Michael La Starza,Vermont,F,17,2,3,5,0,0,0,0,15,0,0,-6,62,4,9
745,Xavier Henry,Vermont,D,26,4,6,10,0,0,1,0,23,0,0,-12,83,10,14
746,Axel Mangbo,Vermont,G,23,0,1,1,0,0,0,0,0,0,0,0,74,0,0
747,Blake Steenerson,Vermont,F,31,5,8,13,1,0,0,0,38,3,2,5,103,23,17
748,Max Strand,Vermont,F,33,8,14,22,4,0,0,0,51,361,161,1,108,8,11
749,Connor MacKenzie,Vermont,G,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0
750,Eli Barnett,Vermont,D,8,0,0,0,0,0,0,0,6,0,0,6,23,2,5
751,Mateo Dixon,Vermont,F,4,1,0,1,0,0,0,0,4,0,0,-4,17,17,2
752,Nick Ahern,Vermont,F,3,0,1,1,0,0,0,0,7,0,0,-1,10,0,1
753,Mario Gasparini,Vermont,D,6,0,1,1,0,0,0,0,1,0,0,-1,16,0,0
754,Matt Cato,Vermont,F,2,0,0,0,0,0,0,0,2,0,0,-1,7,0,0
755,Nick Cafarelli,RIT,F,32,1,7,8,0,0,0,0,31,26,10,-6,124,34,21
756,Dimitri Mikrogiannakis,RIT,D,30,4,7,11,0,0,0,0,57,1,0,-6,117,17,33
757,Grady Hobbs,RIT,F,30,4,5,9,0,1,2,1,62,5,2,-18,109,8,27
758,Douglas Scott,RIT,D,28,1,1,2,0,0,0,0,17,0,0,-15,106,10,12
759,Tanner Andrew,RIT,F,34,7,9,16,1,2,0,0,73,34,6,-14,131,33,26
760,Gustav Blom,RIT,D,25,2,0,2,0,0,0,0,24,0,0,-1,86,8,16
761,Philippe Jacques,RIT,F,34,4,2,6,0,0,0,0,40,288,131,-18,131,6,12
762,Simon Isabelle,RIT,F,35,7,7,14,1,1,0,0,48,684,390,-2,133,12,10
763,Tyler Mahan,RIT,F,35,3,2,5,0,1,1,1,35,13,3,-4,133,15,6
764,Adam Jeffery,RIT,F,25,1,2,3,0,0,0,0,22,0,0,-11,98,6,6
765,Xavier Lapointe,RIT,D,27,5,10,15,3,1,0,0,50,0,0,-5,99,45,48
766,Tyler Fukakusa,RIT,F,35,9,27,36,3,0,0,1,63,747,420,-11,133,18,27
767,Kevin Scott,RIT,D,35,0,4,4,0,0,0,0,32,3,1,-19,133,14,30
768,Christian Catalano,RIT,F,33,7,16,23,1,2,0,0,121,7,2,-10,121,73,55
769,Crossley Stewart,RIT,D,24,3,3,6,0,0,0,0,34,0,0,0,93,21,38
770,Jakub Krbecek,RIT,G,18,0,1,1,0,0,0,0,0,0,0,0,71,4,0
771,Ty Whyte,RIT,F,27,2,2,4,0,0,0,0,21,18,8,-2,95,26,10
772,Tristan Allen,RIT,D,33,2,13,15,2,0,0,0,33,0,0,-22,128,45,40
773,Mathieu Cobetto-Roy,RIT,F,29,0,3,3,0,0,0,0,27,255,129,-5,120,12,18
774,Ryan Williams,RIT,D,27,0,1,1,0,0,0,0,18,0,0,-10,101,8,15
775,Evan Miller,RIT,F,28,1,1,2,0,0,0,0,16,39,16,-14,112,8,8
776,Trent Burnham,RIT,G,9,0,0,0,0,0,0,0,0,0,0,0,41,2,0
777,Matthew Wilde,RIT,F,27,18,14,32,5,2,0,1,95,7,2,-7,107,24,40
778,Ethan David,RIT,G,12,0,0,0,0,0,0,0,0,0,0,0,44,0,0
779,Mason Croucher,RIT,D,20,0,0,0,0,0,0,0,17,0,0,-1,67,10,16
780,Jake Peterson,Air Force,D,35,0,1,1,0,0,0,0,24,0,0,-2,90,2,15
781,Clayton Cosentino,Air Force,F,40,9,20,29,2,3,0,0,104,979,547,-11,112,23,26
782,Andrew DeCarlo,Air Force,F,35,5,2,7,0,0,0,0,46,299,154,-5,94,31,24
783,Mitchell Digby,Air Force,D,36,3,4,7,0,0,2,0,30,0,0,6,104,4,24
784,Austin Schwartz,Air Force,F,40,12,9,21,1,4,0,3,109,35,11,-3,112,6,26
785,Guy Blessing,Air Force,G,39,0,2,2,0,0,0,0,0,0,0,0,110,0,0
786,Holt Oliphant,Air Force,F,38,2,7,9,0,0,0,1,56,9,5,-1,107,6,20
787,Chris Hedden,Air Force,D,39,11,15,26,3,1,1,0,148,1,1,-16,109,52,106
788,Sam Jacobs,Air Force,F,17,1,2,3,0,0,0,0,18,0,0,1,49,2,4
789,Owen Dubois,Air Force,F,34,3,3,6,2,0,0,0,36,345,182,-9,92,23,13
790,Nick Remissong,Air Force,F,36,4,11,15,0,2,0,0,55,12,4,-9,98,14,20
791,Nolan Cunningham,Air Force,D,40,5,13,18,3,0,0,0,84,0,0,-15,112,26,79
792,Will Staring,Air Force,D,39,1,8,9,1,0,0,0,81,0,0,-8,110,26,65
793,Brendan Gibbons,Air Force,F,39,9,9,18,1,0,0,0,95,9,7,-14,110,15,31
794,Ethan  Ullrick,Air Force,F,13,1,0,1,0,1,0,0,17,2,0,-5,49,0,6
795,Sam Stitz,Air Force,F,39,8,8,16,2,1,0,0,63,5,3,2,110,8,15
796,Ren Morque,Air Force,D,39,0,7,7,0,0,0,0,44,0,0,9,109,2,21
797,Michael Kadlecik,Air Force,F,22,0,3,3,0,0,0,0,18,98,56,-6,66,4,9
798,Beau Janzig,Air Force,D,40,0,5,5,0,0,0,0,49,1,0,-7,112,6,37
799,Will Dawson,Air Force,F,33,2,8,10,0,0,0,0,58,0,0,0,92,10,21
800,Mason McCormick,Air Force,F,35,5,5,10,1,3,0,0,72,570,298,-7,101,41,20
801,James Callahan,Air Force,D,5,0,0,0,0,0,0,0,2,0,0,-3,21,0,0
802,Anthony Yu,Air Force,F,29,3,4,7,1,1,0,0,38,1,0,-7,70,8,13
803,Nick Sajevic,Air Force,F,20,2,5,7,0,0,0,0,33,94,44,0,56,4,17
804,Carter Clafton,Air Force,G,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0
805,Will Jones,Air Force,D,2,0,0,0,0,0,0,0,0,0,0,1,3,0,2
806,Jasper Lester,Air Force,D,12,0,0,0,0,0,0,0,10,0,0,0,36,23,8
807,Luke Mylymok,Niagara,F,10,1,1,2,1,0,0,0,13,3,1,-9,31,2,4
808,Braden Doyle,Niagara,D,37,1,9,10,1,0,0,0,46,0,0,4,109,12,22
809,Noah Carlin,Niagara,D,37,4,3,7,0,0,0,1,41,0,0,1,109,18,24
810,Brett Roloson,Niagara,F,25,1,7,8,0,0,0,0,12,105,47,1,74,0,4
811,Kyler Kleven,Niagara,F,26,3,6,9,0,0,0,0,26,7,4,-4,73,10,11
812,Alex Murray,Niagara,D,37,3,14,17,1,0,0,0,68,0,0,-2,109,28,42
813,Jay Ahearn,Niagara,F,36,19,20,39,3,4,1,1,120,5,2,6,107,23,47
814,Jonathan Ziskie,Niagara,D,6,1,0,1,0,0,0,0,6,0,0,-1,25,0,1
815,Lane Brockhoff,Niagara,D,15,0,1,1,0,0,0,0,13,0,0,0,49,4,10
816,Grayson Dietrich,Niagara,F,32,5,6,11,0,1,1,0,34,9,4,5,95,33,13
817,Glebs Prohorenkovs,Niagara,F,37,9,22,31,1,3,0,2,71,737,410,15,109,16,28
818,Johnny Wescoe,Niagara,F,25,1,2,3,0,0,0,0,34,10,3,-4,72,2,7
819,Noah Hackett,Niagara,F,36,11,7,18,4,3,0,0,89,20,11,-1,105,10,31
820,Ross RolosonÂ ,Niagara,D,37,3,11,14,0,0,0,0,64,0,0,4,109,6,40
821,Tyler Wallace,Niagara,F,37,14,12,26,6,2,0,1,112,874,478,5,109,12,43
822,Deivs Rolovs,Niagara,G,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0
823,Nathan Oickle,Niagara,D,37,3,6,9,0,0,0,0,47,1,0,9,109,14,47
824,Trevor Hoskin,Niagara,F,36,12,27,39,2,1,0,0,77,25,9,7,105,12,28
825,Andy Reist,Niagara,F,32,1,7,8,0,0,0,0,72,351,209,-12,92,16,29
826,Spencer Young,Niagara,F,34,7,5,12,0,0,1,1,48,219,109,5,103,19,10
827,Pierce Charleson,Niagara,G,34,0,0,0,0,0,0,0,0,0,0,0,98,0,0
828,Drew Vieten,Niagara,F,20,2,3,5,0,0,0,0,12,48,30,6,64,4,3
829,Lars RÃ¸dne,Niagara,F,29,10,4,14,3,0,0,1,84,1,0,2,83,6,33
830,Shane Ott,Niagara,F,35,9,25,34,1,3,1,0,101,12,6,6,100,10,23
831,Ray Murakami,Niagara,D,16,2,2,4,0,0,0,0,12,0,0,6,44,2,8
832,Ethan Lund,Niagara,D,26,2,5,7,0,1,0,0,32,0,0,10,75,14,20
833,Rainers Darzins,Niagara,F,3,0,0,0,0,0,0,0,0,0,0,-2,8,0,0
834,Mitchell Day,Niagara,G,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
835,Nicklas Andrews,Michigan State,D,35,2,15,17,0,0,0,1,48,0,0,28,77,14,32
836,Red Savage,Michigan State,F,20,5,6,11,0,0,1,1,35,187,96,6,36,6,7
837,David Gucciardi,Michigan State,D,35,6,9,15,0,0,1,1,88,0,0,21,77,42,50
838,Tanner Kelly,Michigan State,F,35,7,9,16,2,1,0,0,71,46,29,10,77,18,25
839,Joey Larson,Michigan State,F,35,10,13,23,3,2,0,0,111,4,0,7,77,22,38
840,Matt Basgall,Michigan State,D,35,6,20,26,3,1,0,0,89,1,0,9,77,6,48
841,Tiernan Shoudy,Michigan State,F,35,8,9,17,0,0,0,1,69,483,259,11,77,24,19
842,Daniel Russell,Michigan State,F,35,12,11,23,2,7,1,2,102,16,8,17,77,25,21
843,Karsen Dorwart,Michigan State,F,33,11,16,27,4,3,0,0,104,615,300,20,75,12,36
844,Charlie Stramel,Michigan State,F,35,9,16,25,1,4,1,0,85,737,381,13,77,26,24
845,Isaac  Howard,Michigan State,F,35,24,23,47,4,3,0,1,169,0,0,19,77,10,69
