PLAYER,Team,Pos,GP,SHOT ATTEMPTS,G,A,PTS,PPG,GWG,SHG,ENG,PEN MIN,BLOCKS
Lucas St. Louis,Harvard,D,33,100,2,9,11,1,1,0,0,12,39
Mick Thompson,Harvard,F,33,120,14,18,32,3,2,2,2,2,18
Alex Gaffney,Harvard,F,4,7,0,0,0,0,0,0,0,0,1
Ben Charette,Harvard,G,16,0,0,0,0,0,0,0,0,0,0
Tommy Lyons,Harvard,F,13,10,0,2,2,0,0,0,0,0,2
Evan Zhang,Harvard,G,1,0,0,0,0,0,0,0,0,0,0
Christian Jimenez,Harvard,D,4,5,0,0,0,0,0,0,0,0,3
Salvatore Guzzo,Harvard,F,21,39,3,0,3,0,0,0,0,8,5
Sean Keohane,Harvard,D,11,33,0,2,2,0,0,0,0,12,15
Luke Khozozian,Harvard,F,1,1,0,0,0,0,0,0,0,0,0
Ross Mitton,Maine,F,29,98,4,7,11,1,1,0,0,38,21
Taylor Makar,Maine,F,35,141,16,12,28,2,6,2,1,47,22
Harrison Scott,Maine,F,35,205,17,15,32,6,1,1,2,24,44
David Breazeale,Maine,D,35,143,3,8,11,0,2,0,0,10,38
Nolan Renwick,Maine,F,35,98,8,13,21,2,0,0,1,22,19
Nicholas Niemo,Maine,F,20,36,3,2,5,0,0,0,0,21,6
Owen Fowler,Maine,F,35,136,8,10,18,1,1,2,1,14,37
Luke Antonacci,Maine,D,27,40,1,2,3,0,0,0,0,4,11
Brandon Holt,Maine,D,31,160,4,16,20,1,0,0,0,12,43
Brandon Chabrier,Maine,D,34,131,0,10,10,0,0,0,0,23,38
Grayson Arnott,Maine,D,20,43,2,0,2,0,1,0,0,4,13
Thomas Freel,Maine,F,35,124,11,7,18,8,2,0,0,16,13
Charlie Russell,Maine,F,32,120,7,17,24,1,2,0,0,22,32
Sully Scholle,Maine,F,35,127,3,13,16,1,1,0,0,8,36
Anthony Calafiore,Maine,F,21,33,1,0,1,0,0,0,0,4,8
Bodie Nobes,Maine,D,18,49,0,4,4,0,0,0,0,4,11
Josh Nadeau,Maine,F,34,219,9,18,27,2,3,1,0,12,68
Albin Boija,Maine,G,34,0,0,0,0,0,0,0,0,0,0
