PLAYER,Team,Pos,GP,SHOT ATTEMPTS,G,A,PTS,PPG,GWG,SHG,ENG,PEN MIN,BLOCKS
Tyler Borgula,Quinnipiac,F,36,146,12,13,25,3,1,0,0,20,31
Aaron Schwartz,Quinnipiac,F,36,145,12,18,30,6,1,0,0,2,29
Braden Blace,Quinnipiac,D,26,34,1,2,3,0,0,0,0,4,11
Chris Pelosi,Quinnipiac,F,36,146,12,11,23,2,3,1,1,10,25
Ryan Smith,Quinnipiac,F,31,63,2,3,5,0,0,0,0,21,17
Dylan Silverstein,Quinnipiac,G,23,0,0,0,0,0,0,0,0,0,0
Matthew McGroarty,Quinnipiac,F,18,20,0,2,2,0,0,0,0,2,3
Drew Hockley,Quinnipiac,D,21,61,1,3,4,1,0,0,0,6,22
Noah Altman,Quinnipiac,G,3,0,0,0,0,0,0,0,0,0,0
Noah Eyre,Quinnipiac,F,4,3,0,0,0,0,0,0,0,0,1
Chase Ramsay,Quinnipiac,D,3,0,0,0,0,0,0,0,0,0,0
Will Zapernick,Vermont,F,35,92,3,14,17,0,0,1,0,10,17
Keenan Rancier,Vermont,G,14,0,0,0,0,0,0,0,0,0,0
Joel MÃ¤Ã¤ttÃ¤,Vermont,F,35,85,9,18,27,4,1,1,2,16,12
Luca MÃ¼nzenberger,Vermont,D,31,98,5,7,12,0,0,0,1,18,29
Isak Walther,Vermont,F,33,103,6,11,17,1,2,0,1,10,13
Timofei Spitserov,Vermont,F,33,113,12,6,18,1,2,0,2,4,16
Simon  Jellus,Vermont,F,35,149,9,12,21,2,3,0,0,14,36
Philip TÃ¶rnqvist,Vermont,D,33,69,2,6,8,1,0,0,0,4,22
Jens Richards,Vermont,F,25,58,5,2,7,0,1,0,0,6,13
Dawson Good,Vermont,F,6,8,0,0,0,0,0,0,0,2,2
Thomas Sinclair,Vermont,F,33,71,3,5,8,0,0,0,1,21,13
Massimo Lombardi,Vermont,F,34,106,8,10,18,1,1,0,0,8,22
Sebastian TÃ¶rnqvist,Vermont,D,31,148,1,17,18,1,0,0,0,46,60
Daniel Sambuco,Vermont,F,27,55,2,2,4,0,0,0,0,46,5
Jack Malinski,Vermont,D,15,22,0,1,1,0,0,0,0,6,5
Duncan  Ramsay,Vermont,D,32,50,0,3,3,0,0,0,0,6,14
Charlie Kinsman,Vermont,D,23,26,1,1,2,0,0,0,0,2,4
Colin Kessler,Vermont,F,34,159,12,11,23,5,1,0,0,39,29
Jax Wismer,Vermont,D,34,101,2,13,15,1,0,0,0,22,30
Michael La Starza,Vermont,F,17,30,2,3,5,0,0,0,0,4,9
Xavier Henry,Vermont,D,26,55,4,6,10,0,0,1,0,10,14
Axel Mangbo,Vermont,G,23,0,0,1,1,0,0,0,0,0,0
Blake Steenerson,Vermont,F,31,72,5,8,13,1,0,0,0,23,17
Max Strand,Vermont,F,33,82,8,14,22,4,0,0,0,8,11
Connor MacKenzie,Vermont,G,3,0,0,0,0,0,0,0,0,0,0
Eli Barnett,Vermont,D,8,13,0,0,0,0,0,0,0,2,5
Mateo Dixon,Vermont,F,4,7,1,0,1,0,0,0,0,17,2
Nick Ahern,Vermont,F,3,9,0,1,1,0,0,0,0,0,1
Mario Gasparini,Vermont,D,6,1,0,1,1,0,0,0,0,0,0
Matt Cato,Vermont,F,2,2,0,0,0,0,0,0,0,0,0
Nick Cafarelli,RIT,F,32,75,1,7,8,0,0,0,0,34,21
Dimitri Mikrogiannakis,RIT,D,30,118,4,7,11,0,0,0,0,17,33
Grady Hobbs,RIT,F,30,112,4,5,9,0,1,2,1,8,27
Douglas Scott,RIT,D,28,44,1,1,2,0,0,0,0,10,12
Tanner Andrew,RIT,F,34,122,7,9,16,1,2,0,0,33,26
Gustav Blom,RIT,D,25,54,2,0,2,0,0,0,0,8,16
Philippe Jacques,RIT,F,34,66,4,2,6,0,0,0,0,6,12
Simon Isabelle,RIT,F,35,79,7,7,14,1,1,0,0,12,10
Tyler Mahan,RIT,F,35,49,3,2,5,0,1,1,1,15,6
Adam Jeffery,RIT,F,25,37,1,2,3,0,0,0,0,6,6
Xavier Lapointe,RIT,D,27,131,5,10,15,3,1,0,0,45,48
Tyler Fukakusa,RIT,F,35,116,9,27,36,3,0,0,1,18,27
Kevin Scott,RIT,D,35,80,0,4,4,0,0,0,0,14,30
Christian Catalano,RIT,F,33,214,7,16,23,1,2,0,0,73,55
Crossley Stewart,RIT,D,24,87,3,3,6,0,0,0,0,21,38
Jakub Krbecek,RIT,G,18,0,0,1,1,0,0,0,0,4,0
Ty Whyte,RIT,F,27,38,2,2,4,0,0,0,0,26,10
Tristan Allen,RIT,D,33,92,2,13,15,2,0,0,0,45,40
Mathieu Cobetto-Roy,RIT,F,29,58,0,3,3,0,0,0,0,12,18
Ryan Williams,RIT,D,27,39,0,1,1,0,0,0,0,8,15
Evan Miller,RIT,F,28,33,1,1,2,0,0,0,0,8,8
Trent Burnham,RIT,G,9,0,0,0,0,0,0,0,0,2,0
Matthew Wilde,RIT,F,27,175,18,14,32,5,2,0,1,24,40
Ethan David,RIT,G,12,0,0,0,0,0,0,0,0,0,0
Mason Croucher,RIT,D,20,41,0,0,0,0,0,0,0,10,16
Jake Peterson,Air Force,D,35,51,0,1,1,0,0,0,0,2,15
Clayton Cosentino,Air Force,F,40,165,9,20,29,2,3,0,0,23,26
Andrew DeCarlo,Air Force,F,35,98,5,2,7,0,0,0,0,31,24
Mitchell Digby,Air Force,D,36,70,3,4,7,0,0,2,0,4,24
Austin Schwartz,Air Force,F,40,184,12,9,21,1,4,0,3,6,26
Guy Blessing,Air Force,G,39,1,0,2,2,0,0,0,0,0,0
Holt Oliphant,Air Force,F,38,108,2,7,9,0,0,0,1,6,20
Chris Hedden,Air Force,D,39,338,11,15,26,3,1,1,0,52,106
Sam Jacobs,Air Force,F,17,29,1,2,3,0,0,0,0,2,4
Owen Dubois,Air Force,F,34,67,3,3,6,2,0,0,0,23,13
Nick Remissong,Air Force,F,36,103,4,11,15,0,2,0,0,14,20
Nolan Cunningham,Air Force,D,40,201,5,13,18,3,0,0,0,26,79
Will Staring,Air Force,D,39,214,1,8,9,1,0,0,0,26,65
Brendan Gibbons,Air Force,F,39,181,9,9,18,1,0,0,0,15,31
Ethan  Ullrick,Air Force,F,13,29,1,0,1,0,1,0,0,0,6
Sam Stitz,Air Force,F,39,106,8,8,16,2,1,0,0,8,15
Ren Morque,Air Force,D,39,85,0,7,7,0,0,0,0,2,21
Michael Kadlecik,Air Force,F,22,40,0,3,3,0,0,0,0,4,9
Beau Janzig,Air Force,D,40,115,0,5,5,0,0,0,0,6,37
Will Dawson,Air Force,F,33,94,2,8,10,0,0,0,0,10,21
Mason McCormick,Air Force,F,35,116,5,5,10,1,3,0,0,41,20
James Callahan,Air Force,D,5,3,0,0,0,0,0,0,0,0,0
Anthony Yu,Air Force,F,29,72,3,4,7,1,1,0,0,8,13
Nick Sajevic,Air Force,F,20,61,2,5,7,0,0,0,0,4,17
Carter Clafton,Air Force,G,3,0,0,0,0,0,0,0,0,0,0
Will Jones,Air Force,D,2,4,0,0,0,0,0,0,0,0,2
Jasper Lester,Air Force,D,12,23,0,0,0,0,0,0,0,23,8
Luke Mylymok,Niagara,F,10,19,1,1,2,1,0,0,0,2,4
Braden Doyle,Niagara,D,37,87,1,9,10,1,0,0,0,12,22
Noah Carlin,Niagara,D,37,79,4,3,7,0,0,0,1,18,24
Brett Roloson,Niagara,F,25,20,1,7,8,0,0,0,0,0,4
Kyler Kleven,Niagara,F,26,42,3,6,9,0,0,0,0,10,11
Alex Murray,Niagara,D,37,130,3,14,17,1,0,0,0,28,42
Jay Ahearn,Niagara,F,36,197,19,20,39,3,4,1,1,23,47
Jonathan Ziskie,Niagara,D,6,9,1,0,1,0,0,0,0,0,1
Lane Brockhoff,Niagara,D,15,28,0,1,1,0,0,0,0,4,10
Grayson Dietrich,Niagara,F,32,60,5,6,11,0,1,1,0,33,13
Glebs Prohorenkovs,Niagara,F,37,116,9,22,31,1,3,0,2,16,28
Johnny Wescoe,Niagara,F,25,54,1,2,3,0,0,0,0,2,7
Noah Hackett,Niagara,F,36,151,11,7,18,4,3,0,0,10,31
Ross RolosonÂ ,Niagara,D,37,126,3,11,14,0,0,0,0,6,40
Tyler Wallace,Niagara,F,37,192,14,12,26,6,2,0,1,12,43
Deivs Rolovs,Niagara,G,2,0,0,0,0,0,0,0,0,0,0
Nathan Oickle,Niagara,D,37,110,3,6,9,0,0,0,0,14,47
Trevor Hoskin,Niagara,F,36,123,12,27,39,2,1,0,0,12,28
Andy Reist,Niagara,F,32,132,1,7,8,0,0,0,0,16,29
Spencer Young,Niagara,F,34,70,7,5,12,0,0,1,1,19,10
Pierce Charleson,Niagara,G,34,0,0,0,0,0,0,0,0,0,0
Drew Vieten,Niagara,F,20,19,2,3,5,0,0,0,0,4,3
Lars RÃ¸dne,Niagara,F,29,143,10,4,14,3,0,0,1,6,33
Shane Ott,Niagara,F,35,150,9,25,34,1,3,1,0,10,23
Ray Murakami,Niagara,D,16,24,2,2,4,0,0,0,0,2,8
Ethan Lund,Niagara,D,26,66,2,5,7,0,1,0,0,14,20
Rainers Darzins,Niagara,F,3,0,0,0,0,0,0,0,0,0,0
Mitchell Day,Niagara,G,1,0,0,0,0,0,0,0,0,0,0
Nicklas Andrews,Michigan State,D,35,97,2,15,17,0,0,0,1,14,32
Red Savage,Michigan State,F,20,57,5,6,11,0,0,1,1,6,7
David Gucciardi,Michigan State,D,35,165,6,9,15,0,0,1,1,42,50
Tanner Kelly,Michigan State,F,35,108,7,9,16,2,1,0,0,18,25
Joey Larson,Michigan State,F,35,192,10,13,23,3,2,0,0,22,38
Matt Basgall,Michigan State,D,35,184,6,20,26,3,1,0,0,6,48
Tiernan Shoudy,Michigan State,F,35,115,8,9,17,0,0,0,1,24,19
Daniel Russell,Michigan State,F,35,152,12,11,23,2,7,1,2,25,21
Karsen Dorwart,Michigan State,F,33,173,11,16,27,4,3,0,0,12,36
Charlie Stramel,Michigan State,F,35,131,9,16,25,1,4,1,0,26,24
Isaac  Howard,Michigan State,F,35,278,24,23,47,4,3,0,1,10,69
Patrick Geary,Michigan State,D,35,123,1,6,7,0,0,0,0,43,45
Austin Oravetz,Michigan State,D,11,13,0,3,3,0,0,0,0,15,2
Tommi MÃ¤nnistÃ¶,Michigan State,F,35,123,3,8,11,0,0,1,0,6,25
Griffin Jurecki,Michigan State,F,22,61,0,2,2,0,0,0,0,0,6
Luca Di Pasquo,Michigan State,G,7,0,0,0,0,0,0,0,0,0,0
Owen West,Michigan State,D,32,66,0,3,3,0,0,0,0,20,21
Vladislav Lukashevich,Michigan State,D,27,48,1,6,7,0,0,0,0,4,17
Mikey DeAngelo,Michigan State,F,31,59,3,6,9,0,0,0,0,19,11
Shane Vansaghi,Michigan State,F,35,94,6,10,16,2,2,0,0,28,15
Trey Augustine,Michigan State,G,28,0,0,3,3,0,0,0,0,0,0
Maxim Å trbÃ¡k,Michigan State,D,31,125,3,15,18,0,0,0,0,16,37
Gavin O'Connell,Michigan State,F,26,82,5,6,11,0,2,0,0,10,9
Nathan Mackie,Michigan State,F,9,11,0,1,1,0,0,0,0,6,2
Tim Lovell,Michigan,D,10,21,0,2,2,0,0,0,0,8,9
Jacob Truscott,Michigan,D,36,129,3,13,16,3,0,0,0,27,49
Philippe Lapointe,Michigan,F,34,51,6,6,12,0,0,0,1,10,9
Thomas Daskas,Michigan,F,14,13,1,0,1,0,1,0,0,6,5
Ethan Edwards,Michigan,D,36,171,5,16,21,4,1,0,0,40,48
Mark Estapa,Michigan,F,35,90,2,10,12,1,0,0,0,32,13
Tyler Duke,Michigan,D,29,88,5,8,13,0,0,0,1,33,32
Josh Eernisse,Michigan,F,36,106,1,10,11,0,0,0,1,34,18
T.J. Hughes,Michigan,F,36,204,15,23,38,9,1,0,0,12,43
Jackson Hallum,Michigan,F,36,127,8,10,18,1,2,0,1,18,31
Kienan Draper,Michigan,F,33,81,7,2,9,0,1,0,0,37,13
Luca Fantilli,Michigan,D,34,78,1,5,6,0,0,0,0,8,26
Evan Werner,Michigan,F,33,148,11,10,21,2,2,0,0,21,30
Nick Moldenhauer,Michigan,F,29,75,3,7,10,0,0,0,1,4,15
Garrett Schifsky,Michigan,F,36,164,11,9,20,1,4,3,1,14,43
William Whitelaw,Michigan,F,35,174,11,7,18,4,2,0,0,30,36
Hunter Hady,Michigan,D,30,34,0,1,1,0,0,0,0,35,9
Dakoda RhÃ©aume-Mullen,Michigan,D,34,57,3,6,9,0,0,0,0,8,16
Michael Hage,Michigan,F,33,135,13,21,34,2,4,0,0,23,40
Cameron Korpi,Michigan,G,19,0,0,0,0,0,0,0,0,2,0
Andrew Albano,Michigan,G,1,0,0,0,0,0,0,0,0,0,0
Logan Stein,Michigan,G,23,0,0,1,1,0,0,0,0,0,0
Christian Humphreys,Michigan,F,10,20,0,1,1,0,0,0,0,0,10
Tanner Rowe,Michigan,F,19,32,0,0,0,0,0,0,0,4,15
Will Felicio,Michigan,D,24,32,2,9,11,0,0,0,0,2,14
Josh Orrico,Michigan,D,7,7,0,0,0,0,0,0,0,0,2
Will Horcoff,Michigan,F,18,75,4,6,10,3,0,0,1,6,12
Jimmy Dowd Jr.,Penn State,D,24,78,1,9,10,0,0,0,0,17,27
Tyler Paquette,Penn State,F,35,54,3,3,6,0,0,1,0,12,8
Simon Mack,Penn State,D,37,179,3,24,27,0,2,0,0,6,52
Carson Dyck,Penn State,F,24,16,1,2,3,0,1,0,0,0,1
Ben Schoen,Penn State,F,34,77,7,12,19,4,0,0,0,27,14
Danny Dzhaniyev,Penn State,F,37,202,12,18,30,4,0,0,0,4,30
Arsenii Sergeev,Penn State,G,30,0,0,2,2,0,0,0,0,0,0
Carter Schade,Penn State,D,35,128,0,9,9,0,0,0,0,26,35
Alex Servagno,Penn State,F,17,27,0,1,1,0,0,0,0,4,5
Jarod Crespo,Penn State,D,33,71,2,5,7,0,0,1,0,10,20
Matt DiMarsico,Penn State,F,36,239,14,15,29,4,2,0,0,28,51
Aiden Fink,Penn State,F,37,229,23,29,52,8,4,2,3,12,45
Dane Dowiak,Penn State,F,37,104,9,8,17,2,1,2,0,18,20
Reese Laubach,Penn State,F,32,151,15,15,30,2,3,1,1,57,24
Keaton Peters,Penn State,F,32,59,2,3,5,0,1,0,0,6,9
Nick Fascia,Penn State,D,24,47,0,3,3,0,0,0,0,13,22
Charlie Cerrato,Penn State,F,35,140,15,22,37,2,2,0,0,58,29
Nicholas DeGraves,Penn State,F,30,35,3,5,8,0,0,0,0,8,8
JJ Wiebusch,Penn State,F,37,120,12,18,30,4,2,0,0,14,16
Cade Christenson,Penn State,D,36,86,2,7,9,0,0,0,1,10,30
Dylan Lugris,Penn State,F,31,74,4,8,12,1,1,0,0,4,13
Casey Aman,Penn State,D,33,77,1,6,7,0,1,0,0,10,21
Braedon Ford,Penn State,F,14,10,1,0,1,0,0,1,0,15,2
Jason Gallucci,Penn State,D,12,22,0,0,0,0,0,0,0,8,7
John Seifarth,Penn State,G,6,0,0,0,0,0,0,0,0,0,0
Noah Grannan,Penn State,G,3,0,0,0,0,0,0,0,0,0,0
Owen Lindmark,Wisconsin,F,37,95,5,4,9,2,0,1,0,12,17
Anthony Kehrer,Wisconsin,D,35,94,1,11,12,0,0,0,0,14,26
Cody Laskosky,Wisconsin,F,27,76,7,4,11,1,1,1,1,4,18
Ryland Mosley,Wisconsin,F,37,188,18,19,37,4,0,0,0,21,26
Daniel Laatsch,Wisconsin,D,22,57,2,3,5,0,2,0,0,2,15
Tommy Scarfone,Wisconsin,G,32,0,0,1,1,0,0,0,0,0,0
Tyson Dyck,Wisconsin,F,37,135,3,10,13,0,2,0,0,10,25
Kyle Kukkonen,Wisconsin,F,37,160,10,9,19,3,2,0,1,22,27
Christian Fitzgerald,Wisconsin,F,37,156,6,11,17,1,1,0,0,24,32
Jack Horbach,Wisconsin,F,34,80,3,6,9,0,0,1,0,21,15
Simon Tassy,Wisconsin,F,31,110,6,5,11,1,2,0,0,10,14
Zach Schulz,Wisconsin,D,28,77,2,9,11,0,1,0,0,10,24
Joe Palodichuk,Wisconsin,D,25,52,1,3,4,1,0,0,0,8,19
Owen Mehlenbacher,Wisconsin,F,25,56,4,2,6,1,1,0,0,2,10
Quinn Finley,Wisconsin,F,37,287,20,20,40,8,1,0,1,31,75
Sawyer Scholl,Wisconsin,F,34,83,3,6,9,0,0,0,0,26,12
Gavin Morrissey,Wisconsin,F,37,125,9,23,32,3,0,0,0,14,26
Jack Phelan,Wisconsin,D,36,54,0,4,4,0,0,0,0,14,15
Ryan Botterill,Wisconsin,F,31,104,4,3,7,1,0,0,0,2,23
Adam Pietila,Wisconsin,F,31,56,1,2,3,0,0,0,0,57,12
Ben Dexheimer,Wisconsin,D,35,158,1,16,17,0,0,0,0,2,46
Logan Hensler,Wisconsin,D,32,102,2,10,12,1,0,0,0,27,37
Weston Knox,Wisconsin,D,10,11,0,3,3,0,0,0,0,4,2
William Gramme,Wisconsin,G,8,0,0,0,0,0,0,0,0,0,0
Luke Buss,Wisconsin,F,5,5,0,0,0,0,0,0,0,0,1
Mike Koster,Minnesota,D,39,100,4,15,19,3,1,0,1,14,30
Mason Nevers,Minnesota,F,32,51,6,3,9,0,1,0,0,4,12
Aaron Huglen,Minnesota,F,38,106,5,14,19,1,0,0,0,10,22
Matthew Wood,Minnesota,F,38,211,17,21,38,3,2,0,1,14,38
Ryan Chesley,Minnesota,D,39,201,8,12,20,0,2,1,0,48,54
Connor Kurth,Minnesota,F,39,170,17,21,38,2,4,0,2,10,31
Brody Lamb,Minnesota,F,38,135,16,9,25,8,2,1,2,12,21
Luke Mittelstadt,Minnesota,D,39,136,2,16,18,1,0,0,0,8,33
Jimmy Snuggerud,Minnesota,F,39,308,22,27,49,4,2,0,2,29,77
Cal Thomas,Minnesota,D,26,62,1,8,9,0,0,0,0,6,16
Sam Rinzel,Minnesota,D,39,207,10,21,31,3,2,0,1,12,58
Oliver Moore,Minnesota,F,37,160,12,20,32,2,1,0,2,6,16
Jimmy Clark,Minnesota,F,38,142,5,16,21,1,1,0,1,0,31
Nathan Airey,Minnesota,G,18,0,0,1,1,0,0,0,0,0,0
John Whipple,Minnesota,D,29,34,0,3,3,0,0,0,0,6,6
August Falloon,Minnesota,F,22,40,2,3,5,0,1,0,0,0,12
Beckett Hendrickson,Minnesota,F,38,105,3,9,12,0,0,0,0,18,17
Leo Gruba,Minnesota,D,39,93,1,2,3,0,1,0,0,10,29
Erik PÃ¥hlsson,Minnesota,F,29,88,3,15,18,0,1,1,1,6,13
Brodie Ziemer,Minnesota,F,37,154,12,11,23,1,2,0,2,21,37
Nick Michel,Minnesota,F,10,14,1,3,4,0,0,0,0,17,3
John Mittelstadt,Minnesota,F,34,59,3,5,8,0,2,0,0,0,7
Axel Begley,Minnesota,D,15,10,0,0,0,0,0,0,0,0,4
Liam Souliere,Minnesota,G,24,0,0,1,1,0,0,0,0,0,0
Joe Dunlap,Ohio State,F,37,167,5,13,18,1,1,0,0,22,38
Gunnarwolfe Fontaine,Ohio State,F,38,176,16,23,39,6,2,0,1,6,34
Aiden Hansen-Bukata,Ohio State,D,36,92,2,24,26,1,1,0,0,20,18
Brent Johnson,Ohio State,D,36,103,5,8,13,0,1,0,0,4,32
Caden Brown,Ohio State,F,2,3,1,1,2,0,1,0,0,0,0
Logan Terness,Ohio State,G,23,0,0,1,1,0,0,0,0,0,0
Davis Burnside,Ohio State,F,38,159,14,19,33,4,2,0,2,16,36
Jake Dunlap,Ohio State,F,18,60,0,3,3,0,0,0,0,0,12
Damien Carfagna,Ohio State,D,36,152,6,20,26,2,1,1,1,6,40
Riley Thompson,Ohio State,F,38,163,17,15,32,6,3,1,2,30,16
Nathan McBrayer,Ohio State,D,38,113,4,6,10,1,0,0,0,20,36
Max Montes,Ohio State,F,38,150,13,12,25,0,4,0,1,16,34
Sam Deckhut,Ohio State,F,35,64,6,8,14,0,1,0,0,10,14
Ryan Gordon,Ohio State,F,37,69,5,8,13,0,1,0,0,27,10
Theo Wallberg,Ohio State,D,27,42,0,8,8,0,0,0,0,10,15
Chris Able,Ohio State,D,30,31,0,8,8,0,0,0,0,6,10
Jake Rozzi,Ohio State,F,31,60,5,6,11,0,3,0,0,2,12
Noah Powell,Ohio State,F,17,50,2,3,5,0,0,0,0,4,15
James Hong,Ohio State,F,32,76,4,9,13,0,0,0,0,17,8
Nathan Lewis,Ohio State,F,25,43,2,4,6,0,0,0,0,2,9
Thomas Weis,Ohio State,F,33,58,2,4,6,0,0,0,0,17,17
Kristoffer Eberly,Ohio State,G,17,0,0,0,0,0,0,0,0,0,0
William Smith,Ohio State,D,34,105,3,3,6,0,1,0,0,29,31
Dylan Godbout,Ohio State,F,14,14,0,1,1,0,0,0,0,2,2
Patrick Guzzo,Ohio State,F,34,95,9,7,16,0,2,0,1,8,12
Chris Romaine,Ohio State,D,9,16,0,0,0,0,0,0,0,4,3
John Larkin,Ohio State,D,6,11,0,0,0,0,0,0,0,0,3
Tyler Coffey,Colorado College,F,23,87,4,2,6,0,1,0,0,0,24
Ty Gallagher,Colorado College,D,37,248,9,17,26,2,0,1,1,12,74
Stanley Cooley,Colorado College,F,37,108,6,6,12,1,2,0,0,28,14
Ryan Beck,Colorado College,F,26,60,0,7,7,0,0,0,0,8,11
Ethan Straky,Colorado College,D,32,89,0,6,6,0,0,0,0,24,31
Noah Laba,Colorado College,F,29,114,10,16,26,0,2,0,1,25,23
Gleb Veremyev,Colorado College,F,37,116,9,8,17,2,0,0,0,50,26
Kaidan Mbereko,Colorado College,G,31,0,0,0,0,0,0,0,0,0,0
Charlie Strobel,Colorado College,F,6,18,0,1,1,0,0,0,0,6,4
Zaccharya Wisdom,Colorado College,F,36,136,8,13,21,0,2,0,0,12,29
Max Burkholder,Colorado College,D,37,165,6,20,26,3,1,0,0,12,59
Bret Link,Colorado College,F,37,161,7,14,21,2,2,0,0,24,25
Tyler Dunbar,Colorado College,D,14,35,0,1,1,0,0,0,0,21,10
Klavs Veinbergs,Colorado College,F,36,110,9,10,19,4,0,0,1,32,23
Drew Montgomery,Colorado College,F,34,99,10,8,18,1,4,0,0,18,19
Brady Cleveland,Colorado College,D,37,67,1,2,3,0,1,0,0,39,25
Philippe Blais-Savoie,Colorado College,D,30,118,4,11,15,1,2,0,0,10,26
Owen Beckner,Colorado College,F,37,84,7,20,27,2,0,0,0,4,17
Fisher Scott,Colorado College,D,34,78,3,7,10,0,1,0,0,12,25
Gavin Lindberg,Colorado College,F,37,78,5,5,10,1,0,0,0,8,6
Riley Stuart,Colorado College,F,21,30,1,0,1,0,0,0,0,36,6
Ryan Koering,Colorado College,D,30,67,1,2,3,0,0,0,0,2,19
Chase McLane,Colorado College,F,33,59,5,5,10,0,0,0,0,26,14
Carsen Musser,Colorado College,G,9,0,0,0,0,0,0,0,0,0,0
Tommy Middleton,Colorado College,F,21,38,1,4,5,0,0,0,0,8,9
Jordan Brisson,Colorado College,F,1,1,0,0,0,0,0,0,0,0,1
Henry Wilder,Colorado College,G,2,0,0,0,0,0,0,0,0,0,0
Connor Caponi,Denver,F,37,60,3,4,7,0,1,0,0,51,12
Carter King,Denver,F,39,183,20,18,38,8,4,1,1,16,32
Jack Devine,Denver,F,39,229,13,41,54,5,0,0,1,32,38
Matt Davis,Denver,G,35,0,0,1,1,0,0,0,0,0,0
Samu Salminen,Denver,F,39,95,10,15,25,1,0,2,0,22,17
Aidan Thompson,Denver,F,39,265,18,31,49,7,2,0,1,26,44
Rieger Lorenz,Denver,F,39,143,6,13,19,2,1,0,0,16,25
Jared Wright,Denver,F,39,102,8,6,14,0,1,0,0,6,14
Kent Anderson,Denver,D,39,82,1,7,8,0,1,0,0,12,32
Eric Pohlkamp,Denver,D,39,289,9,22,31,3,1,0,1,22,70
Cale Ashcroft,Denver,D,39,88,4,7,11,0,3,0,0,8,22
Garrett Brown,Denver,D,37,53,2,4,6,0,0,0,0,16,11
Boston Buckberger,Denver,D,39,173,8,21,29,0,1,0,1,20,49
Kieran Cebrian,Denver,F,39,87,6,8,14,0,1,0,0,14,17
Zeev Buium,Denver,D,36,171,10,32,42,3,3,0,2,40,48
Sam Harris,Denver,F,38,164,21,12,33,9,7,0,0,42,25
Tory Pitner,Denver,D,35,9,0,1,1,0,0,0,0,21,4
Hagen Burrows,Denver,F,34,39,1,8,9,0,0,0,0,12,6
Jake Fisher,Denver,F,37,87,7,7,14,1,0,0,0,12,21
James Reeder,Denver,F,39,91,10,11,21,5,2,0,0,0,22
Alex Weiermair,Denver,F,9,12,0,2,2,0,0,0,0,0,1
Peter LaJoy,Denver,F,5,1,0,0,0,0,0,0,0,2,0
Freddie Halyk,Denver,G,9,0,0,0,0,0,0,0,0,2,0
Colby Ambrosio,Miami,F,34,132,7,13,20,2,0,0,0,45,33
Hampus Rydqvist,Miami,D,27,84,2,3,5,0,0,0,0,10,18
Dylan Moulton,Miami,D,33,82,3,4,7,0,0,0,0,16,10
Brett Miller,Miami,G,7,0,0,0,0,0,0,0,0,0,0
Christophe Fillion,Miami,F,34,88,4,6,10,1,0,0,1,16,17
Conner Hutchison,Miami,D,33,110,2,7,9,0,0,0,0,22,36
Matt Choupani,Miami,F,34,90,6,10,16,2,1,0,0,28,17
Spencer Cox,Miami,D,20,47,1,3,4,0,0,0,0,19,14
Brayden Morrison,Miami,F,23,21,0,2,2,0,0,0,0,20,3
Blake Mesenburg,Miami,F,34,53,4,3,7,0,0,1,0,12,7
Max Dukovac,Miami,F,25,52,5,5,10,2,0,0,0,14,11
Zane Demsey,Miami,D,28,37,1,2,3,0,0,0,0,40,16
Frankie Carogioiello,Miami,F,31,30,1,1,2,0,0,0,0,24,10
Johnny Waldron,Miami,F,28,83,4,16,20,3,0,0,0,8,18
Raimonds Vitolins,Miami,F,31,75,4,10,14,1,0,1,0,12,14
Rihards SimanoviÄs,Miami,D,34,56,1,3,4,0,0,0,0,10,20
Bruno Bruveris,Miami,G,19,0,0,1,1,0,0,0,0,0,0
Michael Quinn,Miami,D,34,106,2,10,12,1,0,0,0,4,32
John Emmons,Miami,F,21,34,1,0,1,0,0,0,0,29,11
Casper Nassen,Miami,F,34,94,6,4,10,4,1,0,0,10,19
Michael Feenstra,Miami,D,12,12,1,2,3,0,0,0,0,16,2
Teodor Forssander,Miami,F,11,7,0,0,0,0,0,0,0,0,2
Ethan Dahlmeir,Miami,G,14,0,0,1,1,0,0,0,0,0,0
William HallÃ©n,Miami,F,9,14,2,0,2,0,1,0,0,4,2
Tanyon Bajzer,Miami,F,13,10,0,0,0,0,0,0,0,0,4
Nick Donato,Miami,D,13,20,0,0,0,0,0,0,0,21,8
Artur Turansky,Miami,F,11,17,0,1,1,0,0,0,0,0,5
Joe Molenaar,Minnesota Duluth,F,31,75,3,3,6,0,0,1,0,6,14
Luke Bast,Minnesota Duluth,D,12,8,0,1,1,0,0,0,0,2,3
Dominic  James,Minnesota Duluth,F,35,193,14,16,30,5,3,0,0,20,35
Owen Gallatin,Minnesota Duluth,D,36,153,4,11,15,0,1,0,1,15,46
Carter Loney,Minnesota Duluth,F,33,70,3,5,8,0,1,0,0,40,14
Kyle Bettens,Minnesota Duluth,F,32,43,1,5,6,0,0,0,0,12,9
Aiden Dubinsky,Minnesota Duluth,D,36,106,4,10,14,0,0,0,0,20,31
Joey Pierce,Minnesota Duluth,D,36,117,1,4,5,0,0,0,0,50,27
Jack Smith,Minnesota Duluth,F,33,78,4,5,9,0,2,0,0,23,14
Zach Sandy,Minnesota Duluth,G,4,0,0,0,0,0,0,0,0,0,0
Aaron Pionk,Minnesota Duluth,D,36,155,3,23,26,1,1,0,0,12,42
