PLAYER,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ATTEMPTS,SHOT ON NET,FACEOFF WINS,TOTAL FACEOFF,BLOCKS,PLSMNS,Opponent Score
Jack Ricketts,38,20,7,27,4,5,1,3,162,89,67,113,28,22,83
Davis Pennington,38,1,16,17,0,0,0,0,175,72,0,0,64,7,83
Jeremy Wilmer,38,15,26,41,5,4,0,1,113,65,17,23,24,-6,83
Victor Czerneckianair,38,7,9,16,0,0,1,1,76,46,336,593,16,23,83
Anthony Cipollone,37,0,3,3,0,0,0,0,58,28,3,9,10,-1,79
Charlie Leddy,37,1,10,11,0,0,0,0,97,41,0,0,32,17,80
Alex Power,21,1,3,4,0,1,0,0,28,15,0,1,7,0,45
Nate Benoit,23,0,2,2,0,0,0,0,30,8,0,0,13,1,45
Mason Marcellus,38,10,28,38,0,1,1,2,138,67,53,120,30,6,83
Andon Cerbone,38,15,20,35,9,2,0,0,154,92,114,188,23,4,83
Matej Marinov,17,0,1,1,0,0,0,0,0,0,0,0,0,0,34
Elliott Groenewold,38,4,8,12,0,2,0,0,129,56,0,0,49,5,83
Tyler Borgula,38,12,13,25,3,1,0,0,154,89,2,3,32,10,83
Aaron Schwartz,38,12,18,30,6,1,0,0,154,89,1,6,30,-1,83
Braden Blace,28,1,2,3,0,0,0,0,38,14,0,0,12,5,58
Chris Pelosi,38,13,11,24,2,3,1,1,149,86,240,465,25,12,83
Ryan Smith,33,2,3,5,0,0,0,0,65,31,71,131,17,-10,76
Dylan Silverstein,24,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Matthew McGroarty,18,0,2,2,0,0,0,0,20,11,52,86,3,-4,40
Drew Hockley,23,1,3,4,1,0,0,0,64,26,0,0,23,3,49
Noah Altman,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Noah Eyre,4,0,0,0,0,0,0,0,3,2,0,0,1,0,9
Chase Ramsay,3,0,0,0,0,0,0,0,0,0,1,1,0,0,4
Will Zapernick,35,3,14,17,0,0,1,0,92,55,199,404,17,-11,116
Keenan Rancier,14,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Joel MÃ¤Ã¤ttÃ¤,35,9,18,27,4,1,1,2,85,51,358,644,12,5,116
Luca MÃ¼nzenberger,31,5,7,12,0,0,0,1,98,40,0,1,29,11,100
Isak Walther,33,6,11,17,1,2,0,1,103,67,3,6,13,-2,111
Timofei Spitserov,33,12,6,18,1,2,0,2,113,71,0,0,16,4,107
Simon  Jellus,35,9,12,21,2,3,0,0,149,74,45,92,36,-2,116
Philip TÃ¶rnqvist,33,2,6,8,1,0,0,0,69,27,0,0,22,-7,106
Jens Richards,25,5,2,7,0,1,0,0,58,33,0,0,13,-6,80
Dawson Good,6,0,0,0,0,0,0,0,8,4,1,1,2,-3,21
Thomas Sinclair,33,3,5,8,0,0,0,1,71,42,176,345,13,-12,110
Massimo Lombardi,34,8,10,18,1,1,0,0,106,61,9,19,22,-15,114
Sebastian TÃ¶rnqvist,31,1,17,18,1,0,0,0,148,58,0,0,60,-9,106
Daniel Sambuco,27,2,2,4,0,0,0,0,55,34,2,3,5,0,84
Jack Malinski,15,0,1,1,0,0,0,0,22,12,0,0,5,1,56
Duncan  Ramsay,32,0,3,3,0,0,0,0,50,24,0,0,14,-3,105
Charlie Kinsman,23,1,1,2,0,0,0,0,26,16,0,0,4,-4,82
Colin Kessler,34,12,11,23,5,1,0,0,159,105,84,197,29,-4,113
Jax Wismer,34,2,13,15,1,0,0,0,101,51,0,0,30,-1,113
Michael La Starza,17,2,3,5,0,0,0,0,30,15,0,0,9,-6,62
Xavier Henry,26,4,6,10,0,0,1,0,55,23,0,0,14,-12,83
Axel Mangbo,23,0,1,1,0,0,0,0,0,0,0,0,0,0,74
Blake Steenerson,31,5,8,13,1,0,0,0,72,38,2,3,17,5,103
Max Strand,33,8,14,22,4,0,0,0,82,51,161,361,11,1,108
Connor MacKenzie,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Eli Barnett,8,0,0,0,0,0,0,0,13,6,0,0,5,6,23
Mateo Dixon,4,1,0,1,0,0,0,0,7,4,0,0,2,-4,17
Nick Ahern,3,0,1,1,0,0,0,0,9,7,0,0,1,-1,10
Mario Gasparini,6,0,1,1,0,0,0,0,1,1,0,0,0,-1,16
Matt Cato,2,0,0,0,0,0,0,0,2,2,0,0,0,-1,7
Nick Cafarelli,32,1,7,8,0,0,0,0,75,31,10,26,21,-6,124
Dimitri Mikrogiannakis,30,4,7,11,0,0,0,0,118,57,0,1,33,-6,117
Grady Hobbs,30,4,5,9,0,1,2,1,112,62,2,5,27,-18,109
Douglas Scott,28,1,1,2,0,0,0,0,44,17,0,0,12,-15,106
Tanner Andrew,34,7,9,16,1,2,0,0,122,73,6,34,26,-14,131
Gustav Blom,25,2,0,2,0,0,0,0,54,24,0,0,16,-1,86
Philippe Jacques,34,4,2,6,0,0,0,0,66,40,131,288,12,-18,131
Simon Isabelle,35,7,7,14,1,1,0,0,79,48,390,684,10,-2,133
Tyler Mahan,35,3,2,5,0,1,1,1,49,35,3,13,6,-4,133
Adam Jeffery,25,1,2,3,0,0,0,0,37,22,0,0,6,-11,98
Xavier Lapointe,27,5,10,15,3,1,0,0,131,50,0,0,48,-5,99
Tyler Fukakusa,35,9,27,36,3,0,0,1,116,63,420,747,27,-11,133
Kevin Scott,35,0,4,4,0,0,0,0,80,32,1,3,30,-19,133
Christian Catalano,33,7,16,23,1,2,0,0,214,121,2,7,55,-10,121
Crossley Stewart,24,3,3,6,0,0,0,0,87,34,0,0,38,0,93
Jakub Krbecek,18,0,1,1,0,0,0,0,0,0,0,0,0,0,71
Ty Whyte,27,2,2,4,0,0,0,0,38,21,8,18,10,-2,95
Tristan Allen,33,2,13,15,2,0,0,0,92,33,0,0,40,-22,128
Mathieu Cobetto-Roy,29,0,3,3,0,0,0,0,58,27,129,255,18,-5,120
Ryan Williams,27,0,1,1,0,0,0,0,39,18,0,0,15,-10,101
Evan Miller,28,1,1,2,0,0,0,0,33,16,16,39,8,-14,112
Trent Burnham,9,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Matthew Wilde,27,18,14,32,5,2,0,1,175,95,2,7,40,-7,107
Ethan David,12,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Mason Croucher,20,0,0,0,0,0,0,0,41,17,0,0,16,-1,67
Jake Peterson,35,0,1,1,0,0,0,0,51,24,0,0,15,-2,90
Clayton Cosentino,40,9,20,29,2,3,0,0,165,104,547,979,26,-11,112
Andrew DeCarlo,35,5,2,7,0,0,0,0,98,46,154,299,24,-5,94
Mitchell Digby,36,3,4,7,0,0,2,0,70,30,0,0,24,6,104
Austin Schwartz,40,12,9,21,1,4,0,3,184,109,11,35,26,-3,112
Guy Blessing,39,0,2,2,0,0,0,0,1,0,0,0,0,0,110
Holt Oliphant,38,2,7,9,0,0,0,1,108,56,5,9,20,-1,107
Chris Hedden,39,11,15,26,3,1,1,0,338,148,1,1,106,-16,109
Sam Jacobs,17,1,2,3,0,0,0,0,29,18,0,0,4,1,49
Owen Dubois,34,3,3,6,2,0,0,0,67,36,182,345,13,-9,92
Nick Remissong,36,4,11,15,0,2,0,0,103,55,4,12,20,-9,98
Nolan Cunningham,40,5,13,18,3,0,0,0,201,84,0,0,79,-15,112
Will Staring,39,1,8,9,1,0,0,0,214,81,0,0,65,-8,110
Brendan Gibbons,39,9,9,18,1,0,0,0,181,95,7,9,31,-14,110
Ethan  Ullrick,13,1,0,1,0,1,0,0,29,17,0,2,6,-5,49
Sam Stitz,39,8,8,16,2,1,0,0,106,63,3,5,15,2,110
Ren Morque,39,0,7,7,0,0,0,0,85,44,0,0,21,9,109
Michael Kadlecik,22,0,3,3,0,0,0,0,40,18,56,98,9,-6,66
Beau Janzig,40,0,5,5,0,0,0,0,115,49,0,1,37,-7,112
Will Dawson,33,2,8,10,0,0,0,0,94,58,0,0,21,0,92
Mason McCormick,35,5,5,10,1,3,0,0,116,72,298,570,20,-7,101
James Callahan,5,0,0,0,0,0,0,0,3,2,0,0,0,-3,21
Anthony Yu,29,3,4,7,1,1,0,0,72,38,0,1,13,-7,70
Nick Sajevic,20,2,5,7,0,0,0,0,61,33,44,94,17,0,56
Carter Clafton,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Will Jones,2,0,0,0,0,0,0,0,4,0,0,0,2,1,3
Jasper Lester,12,0,0,0,0,0,0,0,23,10,0,0,8,0,36
Luke Mylymok,10,1,1,2,1,0,0,0,19,13,1,3,4,-9,31
Braden Doyle,37,1,9,10,1,0,0,0,87,46,0,0,22,4,109
Noah Carlin,37,4,3,7,0,0,0,1,79,41,0,0,24,1,109
Brett Roloson,25,1,7,8,0,0,0,0,20,12,47,105,4,1,74
Kyler Kleven,26,3,6,9,0,0,0,0,42,26,4,7,11,-4,73
Alex Murray,37,3,14,17,1,0,0,0,130,68,0,0,42,-2,109
Jay Ahearn,36,19,20,39,3,4,1,1,197,120,2,5,47,6,107
Jonathan Ziskie,6,1,0,1,0,0,0,0,9,6,0,0,1,-1,25
Lane Brockhoff,15,0,1,1,0,0,0,0,28,13,0,0,10,0,49
Grayson Dietrich,32,5,6,11,0,1,1,0,60,34,4,9,13,5,95
Glebs Prohorenkovs,37,9,22,31,1,3,0,2,116,71,410,737,28,15,109
Johnny Wescoe,25,1,2,3,0,0,0,0,54,34,3,10,7,-4,72
Noah Hackett,36,11,7,18,4,3,0,0,151,89,11,20,31,-1,105
Ross RolosonÂ ,37,3,11,14,0,0,0,0,126,64,0,0,40,4,109
Tyler Wallace,37,14,12,26,6,2,0,1,192,112,478,874,43,5,109
Deivs Rolovs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Nathan Oickle,37,3,6,9,0,0,0,0,110,47,0,1,47,9,109
Trevor Hoskin,36,12,27,39,2,1,0,0,123,77,9,25,28,7,105
Andy Reist,32,1,7,8,0,0,0,0,132,72,209,351,29,-12,92
Spencer Young,34,7,5,12,0,0,1,1,70,48,109,219,10,5,103
Pierce Charleson,34,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Drew Vieten,20,2,3,5,0,0,0,0,19,12,30,48,3,6,64
Lars RÃ¸dne,29,10,4,14,3,0,0,1,143,84,0,1,33,2,83
Shane Ott,35,9,25,34,1,3,1,0,150,101,6,12,23,6,100
Ray Murakami,16,2,2,4,0,0,0,0,24,12,0,0,8,6,44
Ethan Lund,26,2,5,7,0,1,0,0,66,32,0,0,20,10,75
Rainers Darzins,3,0,0,0,0,0,0,0,0,0,0,0,0,-2,8
Mitchell Day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Nicklas Andrews,37,2,16,18,0,0,0,1,101,48,0,0,32,28,77
Red Savage,20,5,6,11,0,0,1,1,57,35,96,187,7,6,36
David Gucciardi,37,6,10,16,0,0,1,1,181,88,0,0,54,21,77
Tanner Kelly,37,8,9,17,2,1,0,0,117,71,29,46,27,10,77
Joey Larson,37,10,14,24,3,2,0,0,204,111,0,4,40,7,77
Matt Basgall,37,6,20,26,3,1,0,0,198,89,0,1,52,9,77
Tiernan Shoudy,37,8,9,17,0,0,0,1,120,69,259,483,22,11,77
Daniel Russell,37,13,12,25,3,7,1,2,161,102,8,16,22,17,77
Karsen Dorwart,35,13,18,31,5,3,0,0,180,104,300,615,37,20,75
Charlie Stramel,37,9,18,27,1,4,1,0,136,85,381,737,25,13,77
Isaac  Howard,37,26,26,52,5,4,0,1,297,169,0,0,72,19,77
Patrick Geary,37,1,6,7,0,0,0,0,134,52,0,0,49,4,77
Austin Oravetz,11,0,3,3,0,0,0,0,13,5,0,0,2,4,24
Tommi MÃ¤nnistÃ¶,37,3,8,11,0,0,1,0,132,67,0,1,27,13,77
Griffin Jurecki,24,0,2,2,0,0,0,0,69,50,0,0,6,-2,52
Luca Di Pasquo,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Owen West,34,0,3,3,0,0,0,0,69,33,0,0,21,9,67
Vladislav Lukashevich,29,1,6,7,0,0,0,0,51,26,0,0,17,11,61
Mikey DeAngelo,33,3,6,9,0,0,0,0,64,33,116,250,12,3,69
Shane Vansaghi,37,6,10,16,2,2,0,0,97,55,16,33,15,10,77
Trey Augustine,30,0,3,3,0,0,0,0,0,0,0,0,0,0,65
Maxim Å trbÃ¡k,33,3,16,19,0,0,0,0,138,56,0,0,43,6,70
Gavin O'Connell,28,6,7,13,0,2,0,0,88,57,4,7,10,5,56
Nathan Mackie,9,0,1,1,0,0,0,0,11,7,19,32,2,-1,21
Tim Lovell,10,0,2,2,0,0,0,0,21,10,0,0,9,0,22
Jacob Truscott,36,3,13,16,3,0,0,0,129,59,0,0,49,-2,118
Philippe Lapointe,34,6,6,12,0,0,0,1,51,30,2,7,9,3,112
Thomas Daskas,14,1,0,1,0,1,0,0,13,4,0,0,5,-4,53
Ethan Edwards,36,5,16,21,4,1,0,0,171,91,0,0,48,-2,118
Mark Estapa,35,2,10,12,1,0,0,0,90,49,304,542,13,-4,116
Tyler Duke,29,5,8,13,0,0,0,1,88,37,0,0,32,0,95
Josh Eernisse,36,1,10,11,0,0,0,1,106,56,1,8,18,0,118
T.J. Hughes,36,15,23,38,9,1,0,0,204,116,380,723,43,4,118
Jackson Hallum,36,8,10,18,1,2,0,1,127,71,6,16,31,-1,118
Kienan Draper,33,7,2,9,0,1,0,0,81,46,183,393,13,-4,105
Luca Fantilli,34,1,5,6,0,0,0,0,78,30,0,0,26,-4,111
Evan Werner,33,11,10,21,2,2,0,0,148,90,0,2,30,-12,103
Nick Moldenhauer,29,3,7,10,0,0,0,1,75,34,16,26,15,2,89
Garrett Schifsky,36,11,9,20,1,4,3,1,164,87,49,104,43,0,118
William Whitelaw,35,11,7,18,4,2,0,0,174,97,5,12,36,6,114
Hunter Hady,30,0,1,1,0,0,0,0,34,10,0,0,9,-2,102
Dakoda RhÃ©aume-Mullen,34,3,6,9,0,0,0,0,57,28,0,0,16,-5,111
Michael Hage,33,13,21,34,2,4,0,0,135,74,169,372,40,-10,106
Cameron Korpi,19,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Andrew Albano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Logan Stein,23,0,1,1,0,0,0,0,0,0,0,0,0,0,80
Christian Humphreys,10,0,1,1,0,0,0,0,20,8,14,29,10,-2,34
Tanner Rowe,19,0,0,0,0,0,0,0,32,13,5,20,15,-5,65
Will Felicio,24,2,9,11,0,0,0,0,32,15,0,0,14,12,85
Josh Orrico,7,0,0,0,0,0,0,0,7,3,0,0,2,-3,25
Will Horcoff,18,4,6,10,3,0,0,1,75,44,3,8,12,-4,66
Jimmy Dowd Jr.,27,1,9,10,0,0,0,0,86,41,0,0,29,-5,84
Tyler Paquette,38,3,5,8,0,0,1,0,58,35,2,7,9,-11,112
Simon Mack,40,3,27,30,0,2,0,0,188,82,0,0,53,23,120
Carson Dyck,28,1,2,3,0,1,0,0,16,13,29,55,1,-1,89
Ben Schoen,37,7,13,20,4,0,0,0,85,48,108,217,14,-9,111
Danny Dzhaniyev,40,12,19,31,4,0,0,0,219,119,83,142,37,-3,120
Arsenii Sergeev,33,0,2,2,0,0,0,0,0,0,0,0,0,0,92
Carter Schade,35,0,9,9,0,0,0,0,128,55,0,0,35,-1,112
Alex Servagno,17,0,1,1,0,0,0,0,27,14,1,1,5,0,51
Jarod Crespo,36,2,5,7,0,0,1,0,87,37,1,1,27,-10,107
Matt DiMarsico,39,17,15,32,4,4,0,0,263,153,6,9,57,12,119
Aiden Fink,40,23,30,53,8,4,2,3,252,144,1,3,49,15,120
Dane Dowiak,40,12,8,20,3,1,2,1,113,64,288,490,20,4,120
Reese Laubach,35,15,15,30,2,3,1,1,168,95,143,310,27,9,105
Keaton Peters,35,2,4,6,0,1,0,0,65,38,246,448,12,-13,109
Nick Fascia,27,0,3,3,0,0,0,0,51,16,0,0,24,-6,83
Charlie Cerrato,38,15,27,42,2,2,0,0,151,94,388,678,30,16,112
Nicholas DeGraves,33,4,5,9,0,0,0,0,43,28,77,152,9,3,97
JJ Wiebusch,40,14,19,33,5,2,0,0,136,83,1,5,21,13,120
Cade Christenson,39,2,7,9,0,0,0,1,94,45,0,1,31,23,119
Dylan Lugris,34,4,8,12,1,1,0,0,84,48,0,3,17,-8,95
Casey Aman,36,1,6,7,0,1,0,0,85,45,0,0,24,-1,110
Braedon Ford,14,1,0,1,0,0,1,0,10,6,14,33,2,-2,44
Jason Gallucci,12,0,0,0,0,0,0,0,22,12,0,0,7,1,21
John Seifarth,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Noah Grannan,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Owen Lindmark,37,5,4,9,2,0,1,0,95,54,363,601,17,-13,110
Anthony Kehrer,35,1,11,12,0,0,0,0,94,45,0,0,26,13,106
Cody Laskosky,27,7,4,11,1,1,1,1,76,42,1,4,18,6,68
Ryland Mosley,37,18,19,37,4,0,0,0,188,117,12,23,26,-2,110
Daniel Laatsch,22,2,3,5,0,2,0,0,57,28,0,1,15,1,56
Tommy Scarfone,32,0,1,1,0,0,0,0,0,0,0,0,0,0,94
Tyson Dyck,37,3,10,13,0,2,0,0,135,77,37,82,25,3,110
Kyle Kukkonen,37,10,9,19,3,2,0,1,160,101,1,2,27,-1,110
Christian Fitzgerald,37,6,11,17,1,1,0,0,156,79,191,409,32,-11,110
Jack Horbach,34,3,6,9,0,0,1,0,80,42,10,18,15,8,98
Simon Tassy,31,6,5,11,1,2,0,0,110,60,4,9,14,-11,102
Zach Schulz,28,2,9,11,0,1,0,0,77,30,0,0,24,0,80
Joe Palodichuk,25,1,3,4,1,0,0,0,52,19,0,0,19,-7,81
Owen Mehlenbacher,25,4,2,6,1,1,0,0,56,33,54,100,10,-2,72
Quinn Finley,37,20,20,40,8,1,0,1,287,139,2,13,75,-2,110
Sawyer Scholl,34,3,6,9,0,0,0,0,83,50,100,202,12,3,102
Gavin Morrissey,37,9,23,32,3,0,0,0,125,72,437,759,26,4,110
Jack Phelan,36,0,4,4,0,0,0,0,54,31,0,0,15,0,108
Ryan Botterill,31,4,3,7,1,0,0,0,104,56,0,0,23,-12,103
Adam Pietila,31,1,2,3,0,0,0,0,56,28,2,3,12,0,90
Ben Dexheimer,35,1,16,17,0,0,0,0,158,80,0,0,46,-16,107
Logan Hensler,32,2,10,12,1,0,0,0,102,50,0,0,37,-13,96
Weston Knox,10,0,3,3,0,0,0,0,11,7,0,0,2,1,32
William Gramme,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Luke Buss,5,0,0,0,0,0,0,0,5,2,0,0,1,-2,12
Mike Koster,40,4,16,20,3,1,0,1,101,44,0,0,30,9,101
Mason Nevers,33,6,3,9,0,1,0,0,52,30,4,9,13,2,87
Aaron Huglen,38,5,14,19,1,0,0,0,106,48,274,518,22,4,96
Matthew Wood,39,17,22,39,3,2,0,1,214,123,35,61,39,19,98
Ryan Chesley,40,8,12,20,0,2,1,0,203,97,0,0,54,17,101
Connor Kurth,40,18,21,39,2,4,0,2,176,103,0,1,33,31,101
Brody Lamb,39,17,9,26,8,2,1,2,139,83,16,38,21,1,98
Luke Mittelstadt,40,2,16,18,1,0,0,0,141,65,0,0,33,23,101
Jimmy Snuggerud,40,24,27,51,5,2,0,2,317,161,8,27,81,13,101
Cal Thomas,27,1,8,9,0,0,0,0,63,27,0,0,16,11,67
Sam Rinzel,40,10,22,32,3,2,0,1,213,95,0,0,61,20,101
Oliver Moore,38,12,21,33,2,1,0,2,165,108,355,674,17,13,97
Jimmy Clark,39,5,17,22,1,1,0,1,145,79,239,516,31,15,97
Nathan Airey,19,0,1,1,0,0,0,0,0,0,0,0,0,0,55
John Whipple,29,0,3,3,0,0,0,0,34,14,0,0,6,4,64
August Falloon,22,2,3,5,0,1,0,0,40,20,0,2,12,0,57
Beckett Hendrickson,39,3,9,12,0,0,0,0,105,61,0,3,17,-1,98
Leo Gruba,40,1,2,3,0,1,0,0,93,45,0,0,29,7,101
Erik PÃ¥hlsson,30,3,15,18,0,1,1,1,91,64,105,311,13,7,78
Brodie Ziemer,38,12,11,23,1,2,0,2,157,89,3,10,37,6,97
Nick Michel,10,1,3,4,0,0,0,0,14,10,0,0,3,5,23
John Mittelstadt,35,3,5,8,0,2,0,0,59,33,105,205,7,5,89
Axel Begley,15,0,0,0,0,0,0,0,10,4,0,0,4,1,37
Liam Souliere,25,0,1,1,0,0,0,0,0,0,0,0,0,0,68
Joe Dunlap,39,8,14,22,2,1,0,0,179,107,1,1,40,3,104
Gunnarwolfe Fontaine,40,17,23,40,6,2,0,1,190,107,4,5,36,6,106
Aiden Hansen-Bukata,38,2,29,31,1,1,0,0,99,55,0,0,18,11,99
Brent Johnson,38,5,8,13,0,1,0,0,110,51,0,2,33,-6,101
Caden Brown,2,1,1,2,0,1,0,0,3,2,9,19,0,2,5
Logan Terness,25,0,1,1,0,0,0,0,0,0,0,0,0,0,74
Davis Burnside,40,14,19,33,4,2,0,2,165,100,1,5,38,8,106
Jake Dunlap,20,0,4,4,0,0,0,0,64,37,1,2,13,1,57
Damien Carfagna,38,7,21,28,2,1,1,1,159,86,0,0,40,16,100
Riley Thompson,40,17,16,33,6,3,1,2,171,123,327,735,17,12,106
Nathan McBrayer,40,4,6,10,1,0,0,0,121,47,0,0,36,9,106
Max Montes,40,14,12,26,0,4,0,1,157,93,239,472,35,3,106
Sam Deckhut,37,6,8,14,0,1,0,0,65,40,80,192,14,7,99
Ryan Gordon,39,5,8,13,0,1,0,0,74,47,203,390,11,-1,105
Theo Wallberg,27,0,8,8,0,0,0,0,42,22,0,0,15,13,72
Chris Able,32,0,9,9,0,0,0,0,34,14,0,0,10,10,87
Jake Rozzi,33,5,7,12,0,3,0,0,61,40,0,1,12,-2,91
Noah Powell,17,2,3,5,0,0,0,0,50,21,4,4,15,0,36
James Hong,34,4,9,13,0,0,0,0,80,54,10,23,9,2,90
Nathan Lewis,27,2,4,6,0,0,0,0,45,26,2,4,9,2,66
Thomas Weis,35,2,5,7,0,0,0,0,61,31,1,5,17,8,93
Kristoffer Eberly,17,0,0,0,0,0,0,0,0,0,0,0,0,0,40
William Smith,36,3,3,6,0,1,0,0,113,52,0,1,31,-2,99
Dylan Godbout,14,0,1,1,0,0,0,0,14,7,0,2,2,-2,39
Patrick Guzzo,36,9,7,16,0,2,0,1,99,60,308,622,13,8,100
Chris Romaine,9,0,0,0,0,0,0,0,16,8,0,0,3,2,17
John Larkin,6,0,0,0,0,0,0,0,11,5,0,0,3,0,15
Tyler Coffey,23,4,2,6,0,1,0,0,87,35,2,5,24,-3,70
Ty Gallagher,37,9,17,26,2,0,1,1,248,110,0,0,74,7,113
Stanley Cooley,37,6,6,12,1,2,0,0,108,72,280,523,14,-17,113
Ryan Beck,26,0,7,7,0,0,0,0,60,28,18,28,11,-13,80
Ethan Straky,32,0,6,6,0,0,0,0,89,34,0,1,31,-6,97
Noah Laba,29,10,16,26,0,2,0,1,114,61,279,487,23,10,96
Gleb Veremyev,37,9,8,17,2,0,0,0,116,65,2,8,26,5,113
Kaidan Mbereko,31,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Charlie Strobel,6,0,1,1,0,0,0,0,18,9,0,0,4,3,9
Zaccharya Wisdom,36,8,13,21,0,2,0,0,136,81,2,9,29,3,104
Max Burkholder,37,6,20,26,3,1,0,0,165,59,0,0,59,-2,113
Bret Link,37,7,14,21,2,2,0,0,161,88,15,42,25,5,113
Tyler Dunbar,14,0,1,1,0,0,0,0,35,16,0,0,10,1,30
Klavs Veinbergs,36,9,10,19,4,0,0,1,110,60,308,522,23,-8,113
Drew Montgomery,34,10,8,18,1,4,0,0,99,50,33,82,19,9,97
Brady Cleveland,37,1,2,3,0,1,0,0,67,31,0,0,25,-3,113
Philippe Blais-Savoie,30,4,11,15,1,2,0,0,118,61,0,0,26,4,102
Owen Beckner,37,7,20,27,2,0,0,0,84,48,117,225,17,8,113
Fisher Scott,34,3,7,10,0,1,0,0,78,30,1,2,25,0,107
Gavin Lindberg,37,5,5,10,1,0,0,0,78,52,119,214,6,-11,113
Riley Stuart,21,1,0,1,0,0,0,0,30,20,21,50,6,-7,64
Ryan Koering,30,1,2,3,0,0,0,0,67,34,0,0,19,-7,93
Chase McLane,33,5,5,10,0,0,0,0,59,35,32,56,14,1,108
Carsen Musser,9,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Tommy Middleton,21,1,4,5,0,0,0,0,38,19,2,6,9,-7,71
Jordan Brisson,1,0,0,0,0,0,0,0,1,0,0,0,1,-1,2
Henry Wilder,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Connor Caponi,42,5,4,9,0,1,0,1,68,39,133,236,16,8,89
Carter King,44,21,22,43,8,4,2,2,198,116,539,979,38,17,94
Jack Devine,44,13,44,57,5,0,0,1,250,148,1,3,40,16,94
Matt Davis,40,0,1,1,0,0,0,0,0,0,0,0,0,0,84
Samu Salminen,44,10,18,28,1,0,2,0,102,59,325,586,17,21,94
Aidan Thompson,44,21,34,55,7,3,0,1,293,164,37,54,50,16,94
Rieger Lorenz,44,6,14,20,2,1,0,0,150,86,11,22,25,14,94
Jared Wright,44,9,8,17,0,1,0,0,119,75,2,4,19,17,94
Kent Anderson,44,1,7,8,0,1,0,0,93,32,0,0,35,13,94
Eric Pohlkamp,44,11,23,34,3,1,0,1,316,151,0,0,73,31,94
Cale Ashcroft,44,4,8,12,0,3,0,0,98,45,0,0,24,8,94
Garrett Brown,42,2,6,8,0,0,0,0,59,29,0,0,13,9,91
Boston Buckberger,41,9,21,30,0,1,0,1,178,71,1,1,50,30,89
Kieran Cebrian,44,6,9,15,0,1,0,0,99,48,386,725,22,12,94
Zeev Buium,41,13,35,48,3,4,0,3,189,88,0,0,52,17,90
Sam Harris,43,23,12,35,11,7,0,0,192,126,3,17,29,14,93
Tory Pitner,40,0,1,1,0,0,0,0,9,4,0,1,4,3,87
Hagen Burrows,39,1,8,9,0,0,0,0,43,33,0,0,6,5,88
Jake Fisher,42,8,7,15,1,0,0,0,97,56,77,183,22,8,88
James Reeder,44,11,11,22,5,3,0,0,103,59,2,5,25,17,94
Alex Weiermair,9,0,2,2,0,0,0,0,12,5,2,4,1,3,16
Peter LaJoy,5,0,0,0,0,0,0,0,1,1,0,0,0,0,9
Freddie Halyk,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Colby Ambrosio,34,7,13,20,2,0,0,0,132,65,46,98,33,-32,143
Hampus Rydqvist,28,2,3,5,0,0,0,0,85,42,3,3,18,-12,117
Dylan Moulton,33,3,4,7,0,0,0,0,82,54,2,7,10,-28,139
Brett Miller,7,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Christophe Fillion,34,4,6,10,1,0,0,1,88,52,38,83,17,-25,143
Conner Hutchison,33,2,7,9,0,0,0,0,110,47,1,1,36,-10,138
Matt Choupani,34,6,10,16,2,1,0,0,90,49,8,37,17,-18,143
Spencer Cox,20,1,3,4,0,0,0,0,47,21,1,2,14,-16,91
Brayden Morrison,23,0,2,2,0,0,0,0,21,11,67,146,3,-9,104
Blake Mesenburg,34,4,3,7,0,0,1,0,53,40,128,295,7,-16,143
Max Dukovac,25,5,5,10,2,0,0,0,52,33,1,6,11,-14,96
Zane Demsey,28,1,2,3,0,0,0,0,37,11,0,0,16,-11,107
Frankie Carogioiello,32,1,1,2,0,0,0,0,31,13,4,11,10,-12,136
Johnny Waldron,28,4,16,20,3,0,0,0,83,46,156,354,18,-19,111
Raimonds Vitolins,31,4,10,14,1,0,1,0,75,47,126,242,14,-13,130
Rihards SimanoviÄs,34,1,3,4,0,0,0,0,56,26,1,1,20,-15,143
Bruno Bruveris,19,0,1,1,0,0,0,0,0,0,0,0,0,0,84
