PLAYER,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ATTEMPTS,SHOT ON NET,FACEOFF WINS,TOTAL FACEOFF,BLOCKS,PLSMNS,Opponent Score
Nils Wallstrom,11,0,0,0,0,0,0,0,1,1,0,0,0,0,43
Nick Pierre,34,5,11,16,3,0,0,0,168,94,8,17,30,-8,112
Caden Cranston,35,7,10,17,1,2,0,1,84,48,10,24,11,-13,112
Caelan Fitzpatrick,35,6,9,15,2,2,0,0,105,54,260,532,18,0,112
Max Lundgren,24,0,0,0,0,0,0,0,0,0,0,0,0,-1,79
Ryan O'Connell,27,1,7,8,0,0,0,0,55,35,0,3,11,-5,86
Max Wattvil,11,0,0,0,0,0,0,0,27,9,0,0,10,-3,34
Michael Emerson,32,6,6,12,0,0,0,0,75,31,62,177,20,1,96
Hunter Wallace,6,2,0,2,0,0,0,0,15,7,0,0,5,2,21
Vann Yuhas,16,2,0,2,0,1,0,0,16,8,0,1,2,-4,54
Ryan Keyes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Nathan King,9,0,2,2,0,0,0,0,22,6,0,0,6,-2,27
Spencer Marquis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Conor Lovett,35,5,1,6,1,0,0,0,40,27,142,245,4,-2,100
Nikolai Jenson,28,2,4,6,0,2,0,0,86,34,1,1,35,0,77
Luke Reid,35,1,11,12,0,0,0,0,157,63,0,0,44,-7,100
Luis Lindner,28,0,6,6,0,0,0,0,64,27,0,0,21,3,75
Robert Cronin,35,17,11,28,8,2,0,0,87,57,186,377,11,-5,100
Liam Devlin,35,9,14,23,2,0,0,1,151,83,1,3,35,-6,100
Alex Gagne,35,4,13,17,1,1,0,0,160,83,0,1,44,0,100
Connor Sweeney,35,2,6,8,0,0,0,0,56,39,8,17,6,-7,100
Colton Huard,35,0,10,10,0,0,0,0,146,64,0,0,40,-6,100
Jack Babbage,19,1,0,1,0,0,0,0,36,18,0,0,8,-5,52
Jared Whale,31,0,0,0,0,0,0,0,0,0,0,0,0,0,93
Kristaps Skrastins,32,3,3,6,0,0,0,0,86,50,1,4,16,-5,93
Morgan Winters,26,2,12,14,0,1,0,1,70,44,20,36,12,4,71
Cy LeClerc,33,8,20,28,1,1,0,0,124,75,242,454,20,-10,99
Marty Lavins,35,8,9,17,2,1,0,1,146,79,174,343,29,-2,100
Brendan Fitzgerald,32,1,2,3,0,0,0,0,71,34,0,0,25,3,96
J.P. Turner,34,5,8,13,0,2,1,0,105,59,7,9,16,0,97
Jason Siedem,32,3,8,11,0,0,0,0,44,26,1,7,10,-3,91
Nick Ring,35,9,11,20,7,1,0,0,97,52,198,437,23,-14,100
Ryan Conmy,34,15,18,33,3,2,0,0,258,124,0,0,75,-1,100
Ryan MacPherson,18,1,1,2,0,0,0,0,11,7,11,23,2,1,59
Ronan Walsh,12,0,0,0,0,0,0,0,6,2,0,0,2,2,33
Rico DiMatteo,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Josh Player,13,0,0,0,0,0,0,0,17,7,0,0,7,-6,39
Connor MacPherson,5,0,0,0,0,0,0,0,2,2,0,0,0,-1,11
Raphael Gaughan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jake Higgins,36,2,1,3,0,0,0,0,35,17,0,0,14,-3,112
Jake Boltmann,35,2,10,12,0,0,0,0,65,24,0,0,25,-2,106
Ryan McGuire,37,4,3,7,1,0,1,1,84,58,381,663,12,-9,112
Cristophe Tellier,36,5,13,18,0,0,0,0,95,52,8,12,21,-12,107
Vinny Borgesi,32,5,17,22,0,2,0,0,150,71,13,17,47,1,92
Cam Lund,37,18,22,40,4,3,0,0,294,174,80,185,54,1,112
Jackson Dorrington,37,2,13,15,0,0,0,0,145,73,0,0,34,-2,112
Nick Rh̩aume,37,2,2,4,1,0,0,0,86,49,8,17,10,-16,112
Joaquim Lemay,30,3,9,12,1,0,0,0,127,58,0,0,43,-11,88
Jack Williams,38,16,25,41,3,3,1,1,196,105,392,712,38,6,120
Dylan Hryckowian,36,17,19,36,3,4,1,2,176,102,5,13,25,4,108
Andy Moore,36,1,3,4,0,0,0,0,36,27,114,203,4,-1,107
Eli Sebastian,33,1,0,1,0,0,0,0,65,33,138,340,14,-15,105
Cameron Whitehead,35,0,1,1,0,0,0,0,0,0,0,0,0,0,109
Jack Henry,30,0,1,1,0,0,0,0,31,13,0,0,9,-9,92
Joe Connor,37,7,10,17,1,2,0,0,188,103,3,10,39,-10,112
Griffin Erdman,37,1,2,3,0,0,0,0,54,35,6,13,8,1,112
James Fisher,24,1,1,2,0,0,0,0,27,21,0,0,4,-3,76
Ben Poitras,28,1,2,3,0,0,0,0,42,25,2,3,9,-3,85
Seth Constance,35,0,1,1,0,0,0,0,13,7,0,0,4,-4,108
Anthony Messuri,15,0,1,1,0,0,0,0,2,1,14,34,0,4,46
Billy Norcross,22,0,1,1,0,0,0,0,18,12,3,7,5,-1,63
Kyle Furey,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
Quentin Sigurdson,6,0,1,1,0,0,0,0,0,0,0,0,0,-2,22
Nolan Hayes,5,0,0,0,0,0,0,0,3,1,0,0,1,0,21
Ethan Fredericks,5,0,0,0,0,0,0,0,4,2,0,0,2,0,15
David Ma,30,6,7,13,2,0,0,0,99,39,0,0,35,0,86
Noah de la Durantaye,29,4,6,10,2,2,0,0,137,56,0,0,52,-12,82
Alex Konovalov,27,3,8,11,0,1,0,0,51,27,5,14,10,2,79
Ethan Pearson,17,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Tyler Rubin,17,2,3,5,0,0,0,0,55,26,0,0,14,0,51
Jayden Sison,24,2,4,6,0,0,0,0,34,24,0,1,4,-5,69
Brendan Gorman,30,12,14,26,2,3,2,1,105,64,285,626,20,-7,86
Kevin Anderson,28,5,4,9,2,0,0,0,88,52,6,14,14,-5,81
David Jacobs,24,3,11,14,0,0,0,0,66,41,5,19,12,-3,63
